Ind,Population,C1,C2,C3,C4,C5,C6
QAc-G-0003,MBG,0.004,0.004,0.005,0.005,0.005,0.977
QAc-G-0004,MBG,0.007,0.956,0.007,0.006,0.021,0.004
QAc-G-0005,MBG,0.984,0.003,0.003,0.003,0.003,0.003
QAc-G-0006,MBG,0.003,0.976,0.003,0.007,0.007,0.004
QAc-G-0283,Moore,0.004,0.332,0.004,0.645,0.009,0.007
QAc-G-0265,MA,0.006,0.173,0.446,0.058,0.273,0.044
QAc-G-0266,MA,0.002,0.002,0.985,0.002,0.003,0.005
QAc-G-0267,MA,0.092,0.034,0.012,0.128,0.566,0.169
QAc-G-0268,MA,0.039,0.325,0.012,0.023,0.011,0.589
QAc-G-0269,MA,0.003,0.003,0.005,0.003,0.004,0.982
QAc-G-0270,MA,0.011,0.004,0.004,0.005,0.969,0.007
QAc-G-0271,MA,0.089,0.021,0.004,0.011,0.871,0.004
QAc-G-0272,MA,0.004,0.007,0.006,0.006,0.958,0.02
QAc-G-0273,MA,0.007,0.004,0.973,0.006,0.005,0.005
QAc-G-0274,MA,0.986,0.002,0.002,0.003,0.003,0.003
QAc-G-0251,Peckerwood,0.017,0.011,0.006,0.007,0.955,0.004
QAc-G-0252,Peckerwood,0.006,0.012,0.005,0.013,0.958,0.005
QAc-G-0253,Peckerwood,0.003,0.004,0.98,0.003,0.004,0.005
QAc-G-0254,Peckerwood,0.003,0.003,0.986,0.003,0.003,0.003
QAc-G-0255,Peckerwood,0.009,0.962,0.004,0.008,0.011,0.006
QAc-G-0256,Peckerwood,0.011,0.964,0.004,0.004,0.007,0.009
QAc-G-0257,Peckerwood,0.064,0.896,0.006,0.022,0.009,0.003
QAc-G-0258,Peckerwood,0.009,0.976,0.003,0.004,0.005,0.004
QAc-G-0259,Peckerwood,0.002,0.794,0.003,0.189,0.009,0.002
QAc-G-0260,Peckerwood,0.178,0.414,0.02,0.315,0.023,0.051
QAc-G-0261,Peckerwood,0.485,0.48,0.005,0.015,0.011,0.004
QAc-G-0262,Peckerwood,0.048,0.902,0.009,0.016,0.006,0.019
QAc-G-0010,TMA,0.006,0.009,0.02,0.037,0.042,0.887
QAc-G-0011,TMA,0.006,0.004,0.004,0.976,0.007,0.003
QAc-G-0015,TMA,0.009,0.075,0.846,0.043,0.021,0.006
QAc-G-0106,TMA,0.024,0.959,0.003,0.004,0.007,0.003
QAc-G-0107,TMA,0.004,0.969,0.007,0.007,0.004,0.008
QAc-G-0108,TMA,0.006,0.973,0.003,0.006,0.007,0.006
QAc-G-0109,TMA,0.026,0.933,0.012,0.016,0.008,0.005
QAc-G-0110,TMA,0.003,0.902,0.007,0.01,0.03,0.048
QAc-G-0111,TMA,0.006,0.966,0.005,0.008,0.008,0.007
QAc-G-0112,TMA,0.005,0.959,0.007,0.004,0.005,0.021
QAc-G-0113,TMA,0.022,0.947,0.01,0.006,0.006,0.009
QAc-G-0114,TMA,0.004,0.925,0.014,0.006,0.032,0.02
QAc-G-0115,TMA,0.007,0.975,0.003,0.005,0.004,0.005
QAc-G-0116,TMA,0.008,0.964,0.006,0.007,0.005,0.01
QAc-G-0117,TMA,0.061,0.77,0.011,0.017,0.132,0.008
QAc-G-0118,TMA,0.016,0.961,0.002,0.007,0.008,0.006
QAc-G-0119,TMA,0.029,0.945,0.006,0.004,0.013,0.002
QAc-G-0120,TMA,0.007,0.955,0.006,0.013,0.012,0.007
QAc-G-0121,TMA,0.975,0.005,0.004,0.003,0.007,0.005
QAc-G-0122,TMA,0.947,0.006,0.004,0.006,0.009,0.028
QAc-G-0123,TMA,0.986,0.002,0.003,0.002,0.005,0.002
QAc-G-0124,TMA,0.981,0.004,0.003,0.004,0.005,0.003
QAc-G-0125,TMA,0.536,0.166,0.155,0.101,0.009,0.033
QAc-G-0126,TMA,0.219,0.732,0.018,0.013,0.012,0.007
QAc-G-0127,TMA,0.976,0.005,0.004,0.007,0.005,0.003
QAc-G-0128,TMA,0.983,0.003,0.003,0.003,0.003,0.005
QAc-G-0129,TMA,0.987,0.003,0.002,0.003,0.003,0.003
QAc-G-0130,TMA,0.962,0.013,0.002,0.01,0.008,0.005
QAc-G-0131,TMA,0.976,0.004,0.004,0.004,0.006,0.005
QAc-G-0132,TMA,0.797,0.138,0.027,0.009,0.01,0.018
QAc-G-0133,TMA,0.98,0.003,0.003,0.003,0.006,0.004
QAc-G-0134,TMA,0.98,0.004,0.004,0.003,0.005,0.004
QAc-G-0135,TMA,0.004,0.965,0.008,0.008,0.011,0.005
QAc-G-0136,TMA,0.007,0.96,0.007,0.012,0.005,0.01
QAc-G-0137,TMA,0.048,0.926,0.003,0.006,0.011,0.005
QAc-G-0138,TMA,0.008,0.944,0.007,0.034,0.003,0.004
QAc-G-0139,TMA,0.031,0.937,0.002,0.006,0.021,0.004
QAc-G-0140,TMA,0.039,0.921,0.005,0.007,0.022,0.006
QAc-G-0141,TMA,0.023,0.884,0.013,0.025,0.038,0.017
QAc-G-0142,TMA,0.004,0.978,0.003,0.005,0.007,0.003
QAc-G-0143,TMA,0.006,0.945,0.007,0.009,0.017,0.016
QAc-G-0144,TMA,0.002,0.977,0.005,0.006,0.005,0.005
QAc-G-0145,TMA,0.003,0.003,0.003,0.003,0.004,0.984
QAc-G-0146,TMA,0.984,0.003,0.003,0.003,0.003,0.003
QAc-G-0147,TMA,0.32,0.105,0.006,0.544,0.017,0.009
QAc-G-0148,TMA,0.007,0.957,0.006,0.008,0.015,0.007
QAc-G-0149,TMA,0.982,0.003,0.003,0.004,0.004,0.004
QAc-G-0150,TMA,0.004,0.003,0.005,0.004,0.004,0.981
QAc-G-0151,TMA,0.981,0.003,0.003,0.004,0.005,0.003
QAc-G-0152,TMA,0.981,0.003,0.006,0.003,0.005,0.003
QAc-G-0153,TMA,0.917,0.014,0.002,0.036,0.012,0.019
QAc-G-0154,TMA,0.947,0.013,0.003,0.004,0.019,0.013
QAc-G-0155,TMA,0.983,0.003,0.003,0.003,0.006,0.003
QAc-G-0158,TMA,0.985,0.003,0.003,0.003,0.003,0.003
QAc-G-0159,TMA,0.017,0.956,0.004,0.008,0.007,0.007
QAc-G-0160,TMA,0.003,0.002,0.003,0.003,0.003,0.986
QAc-G-0161,TMA,0.002,0.003,0.003,0.002,0.003,0.986
QAc-G-0162,TMA,0.004,0.015,0.006,0.046,0.27,0.659
QAc-G-0163,TMA,0.003,0.022,0.003,0.005,0.054,0.912
QAc-G-0164,TMA,0.003,0.005,0.014,0.023,0.005,0.951
QAc-G-0165,TMA,0.009,0.005,0.003,0.006,0.007,0.971
QAc-G-0166,TMA,0.003,0.004,0.004,0.003,0.006,0.98
QAc-G-0167,TMA,0.004,0.004,0.004,0.004,0.006,0.978
QAc-G-0168,TMA,0.002,0.003,0.004,0.002,0.003,0.986
QAc-G-0169,TMA,0.004,0.43,0.005,0.037,0.01,0.514
QAc-G-0170,TMA,0.006,0.003,0.005,0.005,0.005,0.977
QAc-G-0171,TMA,0.003,0.003,0.004,0.004,0.004,0.983
QAc-G-0172,TMA,0.011,0.939,0.007,0.01,0.01,0.023
QAc-G-0173,TMA,0.003,0.003,0.006,0.003,0.003,0.982
QAc-G-0174,TMA,0.009,0.067,0.008,0.04,0.029,0.847
QAc-G-0175,TMA,0.002,0.003,0.004,0.004,0.004,0.984
QAc-G-0176,TMA,0.004,0.008,0.009,0.006,0.16,0.812
QAc-G-0177,TMA,0.003,0.003,0.005,0.003,0.004,0.982
QAc-G-0178,TMA,0.01,0.006,0.03,0.078,0.005,0.871
QAc-G-0179,TMA,0.003,0.003,0.004,0.003,0.003,0.984
QAc-G-0180,TMA,0.003,0.003,0.003,0.003,0.003,0.985
QAc-G-0181,TMA,0.003,0.004,0.002,0.005,0.009,0.976
QAc-G-0182,TMA,0.014,0.026,0.003,0.023,0.024,0.91
QAc-G-0183,TMA,0.004,0.005,0.007,0.004,0.003,0.977
QAc-G-0184,TMA,0.003,0.003,0.003,0.003,0.004,0.984
QAc-G-0185,TMA,0.012,0.008,0.007,0.023,0.01,0.941
QAc-G-0186,TMA,0.003,0.003,0.002,0.006,0.008,0.978
QAc-G-0187,TMA,0.005,0.006,0.035,0.041,0.014,0.9
QAc-G-0188,TMA,0.005,0.688,0.004,0.009,0.034,0.26
QAc-G-0189,TMA,0.003,0.003,0.005,0.003,0.003,0.985
QAc-G-0190,TMA,0.004,0.003,0.005,0.004,0.005,0.979
QAc-G-0191,TMA,0.005,0.003,0.004,0.003,0.004,0.98
QAc-G-0192,TMA,0.003,0.002,0.004,0.003,0.003,0.985
QAc-G-0193,TMA,0.005,0.003,0.004,0.005,0.005,0.977
QAc-G-0194,TMA,0.003,0.004,0.005,0.005,0.007,0.975
QAc-G-0195,TMA,0.004,0.006,0.099,0.007,0.012,0.872
QAc-G-0196,TMA,0.002,0.003,0.005,0.004,0.004,0.982
QAc-G-0197,TMA,0.003,0.003,0.004,0.003,0.003,0.985
QAc-G-0198,TMA,0.004,0.003,0.003,0.003,0.004,0.983
QAc-G-0199,TMA,0.009,0.011,0.011,0.053,0.026,0.89
QAc-G-0200,TMA,0.003,0.004,0.003,0.005,0.01,0.976
QAc-G-0201,TMA,0.002,0.003,0.004,0.004,0.003,0.984
QAc-G-0202,TMA,0.003,0.004,0.009,0.004,0.004,0.976
QAc-G-0203,TMA,0.003,0.009,0.012,0.003,0.005,0.969
QAc-G-0204,TMA,0.003,0.003,0.005,0.004,0.006,0.979
QAc-G-0205,TMA,0.003,0.002,0.987,0.002,0.002,0.004
QAc-G-0206,TMA,0.006,0.12,0.831,0.014,0.025,0.004
QAc-G-0207,TMA,0.006,0.005,0.966,0.009,0.007,0.006
QAc-G-0208,TMA,0.004,0.003,0.983,0.003,0.003,0.004
QAc-G-0209,TMA,0.002,0.003,0.98,0.004,0.003,0.007
QAc-G-0210,TMA,0.002,0.003,0.985,0.003,0.003,0.003
QAc-G-0211,TMA,0.004,0.003,0.984,0.003,0.003,0.003
QAc-G-0212,TMA,0.003,0.003,0.983,0.003,0.003,0.004
QAc-G-0213,TMA,0.003,0.003,0.98,0.004,0.005,0.005
QAc-G-0214,TMA,0.002,0.003,0.985,0.003,0.003,0.004
QAc-G-0215,TMA,0.003,0.003,0.983,0.003,0.004,0.003
QAc-G-0216,TMA,0.004,0.717,0.188,0.008,0.013,0.071
QAc-G-0217,TMA,0.01,0.006,0.965,0.008,0.005,0.005
QAc-G-0218,TMA,0.005,0.003,0.973,0.007,0.007,0.005
QAc-G-0219,TMA,0.025,0.028,0.905,0.009,0.024,0.009
QAc-G-0220,TMA,0.006,0.026,0.949,0.009,0.007,0.003
QAc-G-0221,TMA,0.013,0.007,0.927,0.031,0.013,0.009
QAc-G-0222,TMA,0.003,0.002,0.983,0.003,0.004,0.005
QAc-G-0223,TMA,0.005,0.004,0.977,0.006,0.005,0.003
QAc-G-0224,TMA,0.003,0.003,0.981,0.005,0.003,0.005
QAc-G-0226,TMA,0.004,0.003,0.982,0.003,0.005,0.004
QAc-G-0227,TMA,0.016,0.005,0.004,0.005,0.964,0.006
QAc-G-0228,TMA,0.003,0.005,0.007,0.006,0.973,0.005
QAc-G-0229,TMA,0.005,0.015,0.008,0.015,0.951,0.007
QAc-G-0230,TMA,0.003,0.01,0.019,0.006,0.956,0.006
QAc-G-0231,TMA,0.005,0.004,0.978,0.003,0.004,0.006
QAc-G-0232,TMA,0.012,0.006,0.003,0.009,0.968,0.003
QAc-G-0233,TMA,0.006,0.012,0.032,0.248,0.697,0.005
QAc-G-0234,TMA,0.005,0.005,0.005,0.01,0.958,0.017
QAc-G-0235,TMA,0.003,0.972,0.005,0.007,0.006,0.006
QAc-G-0236,TMA,0.01,0.004,0.005,0.004,0.971,0.006
QAc-G-0237,TMA,0.018,0.008,0.015,0.012,0.936,0.01
QAc-G-0238,TMA,0.004,0.004,0.007,0.004,0.975,0.006
QAc-G-0239,TMA,0.003,0.007,0.005,0.006,0.974,0.005
QAc-G-0240,TMA,0.007,0.006,0.003,0.006,0.975,0.003
QAc-G-0241,TMA,0.007,0.031,0.011,0.03,0.906,0.016
QAc-G-0242,TMA,0.01,0.006,0.01,0.01,0.961,0.003
QAc-G-0243,TMA,0.062,0.021,0.021,0.142,0.75,0.004
QAc-G-0244,TMA,0.005,0.015,0.007,0.005,0.961,0.006
QAc-G-0245,TMA,0.014,0.005,0.004,0.005,0.966,0.006
QAc-G-0246,TMA,0.007,0.006,0.005,0.007,0.968,0.007
QAc-G-0247,TMA,0.004,0.004,0.005,0.005,0.979,0.003
QAc-G-0248,TMA,0.004,0.005,0.003,0.004,0.982,0.003
QAc-G-0249,TTA,0.003,0.007,0.009,0.963,0.007,0.01
QAc-G-0025,USNA,0.003,0.003,0.983,0.003,0.005,0.004
QAc-G-0028,USNA,0.004,0.004,0.035,0.067,0.884,0.006
QAc-G-0275,UWBG,0.003,0.004,0.972,0.004,0.006,0.012
QAc-G-0263,ZBGP,0.005,0.024,0.019,0.574,0.005,0.372
QAc-W-0001,Porter,0.031,0.015,0.005,0.006,0.94,0.003
QAc-W-0002,Porter,0.003,0.026,0.004,0.012,0.935,0.02
QAc-W-0003,Porter,0.009,0.029,0.041,0.009,0.884,0.028
QAc-W-0004,Porter,0.005,0.003,0.009,0.006,0.971,0.006
QAc-W-0005,Porter,0.014,0.006,0.005,0.014,0.951,0.01
QAc-W-0006,Porter,0.007,0.007,0.006,0.01,0.966,0.005
QAc-W-0007,Porter,0.006,0.004,0.005,0.008,0.973,0.004
QAc-W-0008,Porter,0.004,0.012,0.003,0.039,0.938,0.004
QAc-W-0009,Porter,0.007,0.065,0.007,0.022,0.89,0.009
QAc-W-0010,Porter,0.023,0.021,0.005,0.135,0.8,0.015
QAc-W-0011,Porter,0.027,0.017,0.006,0.005,0.896,0.048
QAc-W-0012,Porter,0.006,0.007,0.005,0.006,0.965,0.012
QAc-W-0013,Porter,0.004,0.028,0.11,0.007,0.844,0.007
QAc-W-0014,Porter,0.005,0.004,0.005,0.024,0.957,0.004
QAc-W-0015,Porter,0.004,0.02,0.029,0.036,0.881,0.029
QAc-W-0016,Porter,0.003,0.055,0.014,0.198,0.718,0.012
QAc-W-0017,Porter,0.01,0.178,0.029,0.385,0.335,0.063
QAc-W-0018,Porter,0.01,0.058,0.032,0.035,0.862,0.003
QAc-W-0019,Porter,0.006,0.006,0.006,0.013,0.962,0.007
QAc-W-0020,Porter,0.04,0.008,0.003,0.007,0.937,0.004
QAc-W-0021,Porter,0.013,0.088,0.295,0.079,0.513,0.013
QAc-W-0022,Porter,0.008,0.045,0.023,0.37,0.537,0.016
QAc-W-0023,Porter,0.093,0.174,0.04,0.083,0.607,0.003
QAc-W-0024,Porter,0.007,0.023,0.241,0.027,0.669,0.033
QAc-W-0025,Porter,0.004,0.005,0.004,0.005,0.978,0.004
QAc-W-0026,Porter,0.095,0.014,0.041,0.053,0.728,0.068
QAc-W-0027,Porter,0.004,0.01,0.004,0.011,0.964,0.007
QAc-W-0028,Porter,0.004,0.007,0.003,0.005,0.975,0.006
QAc-W-0029,Porter,0.009,0.01,0.006,0.005,0.966,0.003
QAc-W-0030,Porter,0.008,0.005,0.005,0.005,0.968,0.009
QAc-W-0031,Porter,0.003,0.007,0.06,0.005,0.92,0.004
QAc-W-0032,Porter,0.01,0.003,0.004,0.009,0.972,0.002
QAc-W-0033,Porter,0.022,0.014,0.011,0.041,0.907,0.005
QAc-W-0034,Porter,0.005,0.013,0.005,0.007,0.966,0.004
QAc-W-0035,Porter,0.005,0.013,0.02,0.059,0.868,0.034
QAc-W-0036,Porter,0.049,0.008,0.003,0.009,0.927,0.004
QAc-W-0037,Porter,0.013,0.006,0.01,0.006,0.949,0.016
QAc-W-0038,Porter,0.012,0.014,0.005,0.009,0.946,0.015
QAc-W-0039,Porter,0.026,0.008,0.01,0.007,0.934,0.016
QAc-W-0040,Porter,0.022,0.009,0.009,0.225,0.727,0.008
QAc-W-0041,Porter,0.005,0.033,0.058,0.014,0.877,0.013
QAc-W-0042,Magazine,0.418,0.457,0.028,0.017,0.038,0.042
QAc-W-0043,Magazine,0.015,0.87,0.011,0.007,0.045,0.053
QAc-W-0044,Magazine,0.382,0.234,0.006,0.105,0.237,0.036
QAc-W-0045,Magazine,0.021,0.946,0.006,0.008,0.012,0.009
QAc-W-0046,Magazine,0.021,0.906,0.018,0.008,0.027,0.019
QAc-W-0047,Magazine,0.038,0.883,0.004,0.02,0.035,0.02
QAc-W-0048,Magazine,0.082,0.89,0.007,0.006,0.011,0.005
QAc-W-0049,Magazine,0.098,0.876,0.009,0.005,0.007,0.005
QAc-W-0050,Magazine,0.005,0.961,0.011,0.01,0.006,0.007
QAc-W-0051,Magazine,0.027,0.924,0.01,0.008,0.015,0.016
QAc-W-0052,Magazine,0.982,0.003,0.003,0.003,0.005,0.004
QAc-W-0053,Magazine,0.013,0.956,0.004,0.011,0.012,0.004
QAc-W-0054,Magazine,0.065,0.374,0.006,0.359,0.014,0.183
QAc-W-0055,Magazine,0.008,0.294,0.075,0.08,0.009,0.535
QAc-W-0056,Magazine,0.009,0.807,0.035,0.038,0.099,0.012
QAc-W-0057,Magazine,0.01,0.878,0.055,0.023,0.009,0.024
QAc-W-0058,Magazine,0.006,0.854,0.116,0.005,0.005,0.014
QAc-W-0059,Magazine,0.007,0.976,0.003,0.004,0.004,0.005
QAc-W-0060,Magazine,0.07,0.024,0.006,0.049,0.098,0.753
QAc-W-0061,Magazine,0.003,0.049,0.009,0.135,0.014,0.788
QAc-W-0062,Magazine,0.052,0.008,0.02,0.218,0.012,0.69
QAc-W-0063,Magazine,0.097,0.04,0.031,0.281,0.04,0.511
QAc-W-0064,Magazine,0.005,0.032,0.02,0.212,0.061,0.67
QAc-W-0065,Magazine,0.005,0.089,0.015,0.308,0.04,0.543
QAc-W-0066,Magazine,0.003,0.002,0.005,0.003,0.004,0.983
QAc-W-0067,Magazine,0.004,0.002,0.004,0.003,0.003,0.984
QAc-W-0068,Magazine,0.003,0.002,0.003,0.003,0.003,0.985
QAc-W-0069,Magazine,0.003,0.002,0.004,0.003,0.004,0.984
QAc-W-0070,Magazine,0.003,0.002,0.003,0.003,0.003,0.986
QAc-W-0071,Magazine,0.004,0.008,0.005,0.028,0.005,0.951
QAc-W-0072,Magazine,0.005,0.036,0.009,0.736,0.014,0.2
QAc-W-0073,Magazine,0.011,0.524,0.01,0.058,0.022,0.375
QAc-W-0074,Magazine,0.006,0.009,0.01,0.19,0.015,0.769
QAc-W-0075,Magazine,0.003,0.016,0.008,0.028,0.01,0.935
QAc-W-0076,Magazine,0.003,0.014,0.01,0.321,0.006,0.647
QAc-W-0077,Magazine,0.013,0.076,0.004,0.044,0.02,0.844
QAc-W-0078,Pryor,0.025,0.02,0.646,0.206,0.07,0.034
QAc-W-0079,Pryor,0.006,0.007,0.937,0.011,0.013,0.026
QAc-W-0080,Pryor,0.003,0.011,0.943,0.006,0.033,0.005
QAc-W-0081,Pryor,0.008,0.004,0.973,0.005,0.006,0.004
QAc-W-0082,Pryor,0.003,0.468,0.514,0.006,0.005,0.004
QAc-W-0083,Pryor,0.019,0.011,0.877,0.044,0.019,0.03
QAc-W-0084,Pryor,0.006,0.003,0.978,0.004,0.005,0.004
QAc-W-0085,Pryor,0.004,0.003,0.981,0.004,0.003,0.005
QAc-W-0086,Pryor,0.004,0.004,0.973,0.008,0.005,0.006
QAc-W-0087,Pryor,0.004,0.009,0.964,0.01,0.007,0.006
QAc-W-0088,Pryor,0.004,0.037,0.941,0.009,0.006,0.004
QAc-W-0089,Pryor,0.004,0.004,0.976,0.004,0.006,0.006
QAc-W-0090,Pryor,0.003,0.004,0.977,0.004,0.006,0.006
QAc-W-0091,Pryor,0.014,0.01,0.949,0.016,0.006,0.006
QAc-W-0092,Pryor,0.248,0.008,0.693,0.008,0.036,0.007
QAc-W-0093,Pryor,0.01,0.101,0.749,0.041,0.096,0.003
QAc-W-0094,Pryor,0.276,0.025,0.639,0.014,0.041,0.005
QAc-W-0095,Pryor,0.054,0.009,0.907,0.007,0.017,0.005
QAc-W-0096,Pryor,0.138,0.027,0.758,0.031,0.031,0.016
QAc-W-0097,Pryor,0.006,0.213,0.69,0.007,0.075,0.008
