Individual,Population,C1,C2
QAc-G-0019,HBG,0.031,0.969
QAc-G-0020,HBG,0.023,0.977
QAc-G-0021,HBG,0.024,0.976
QAc-G-0022,HBG,0.019,0.981
QAc-G-0023,HBG,0.987,0.013
QAc-G-0024,HBG,0.978,0.022
QAc-G-0016,HBG,0.357,0.643
QAc-G-0017,HBG,0.017,0.983
NA,NA,0,0
QAc-G-0250,Meis,0.627,0.373
QAc-G-0003,MBG,0.981,0.019
QAc-G-0004,MBG,0.014,0.986
QAc-G-0005,MBG,0.026,0.974
QAc-G-0006,MBG,0.016,0.984
NA,NA,0,0
QAc-G-0283,Moore,0.02,0.98
NA,NA,0,0
QAc-G-0265,MA,0.551,0.449
QAc-G-0266,MA,0.991,0.009
QAc-G-0267,MA,0.073,0.927
QAc-G-0268,MA,0.62,0.38
QAc-G-0269,MA,0.988,0.012
QAc-G-0270,MA,0.032,0.968
QAc-G-0271,MA,0.014,0.986
QAc-G-0272,MA,0.105,0.895
QAc-G-0273,MA,0.976,0.024
QAc-G-0274,MA,0.014,0.986
NA,NA,0,0
QAc-G-0251,Peckerwood,0.017,0.983
QAc-G-0252,Peckerwood,0.021,0.979
QAc-G-0253,Peckerwood,0.988,0.012
QAc-G-0254,Peckerwood,0.989,0.011
QAc-G-0255,Peckerwood,0.011,0.989
QAc-G-0256,Peckerwood,0.034,0.966
QAc-G-0257,Peckerwood,0.011,0.989
QAc-G-0258,Peckerwood,0.01,0.99
QAc-G-0259,Peckerwood,0.009,0.991
QAc-G-0260,Peckerwood,0.095,0.905
QAc-G-0261,Peckerwood,0.019,0.981
QAc-G-0262,Peckerwood,0.039,0.961
NA,NA,0,0
QAc-G-0010,TMA,0.914,0.086
QAc-G-0011,TMA,0.014,0.986
QAc-G-0015,TMA,0.837,0.163
QAc-G-0106,TMA,0.01,0.99
QAc-G-0107,TMA,0.035,0.965
QAc-G-0108,TMA,0.013,0.987
QAc-G-0109,TMA,0.024,0.976
QAc-G-0110,TMA,0.032,0.968
QAc-G-0111,TMA,0.027,0.973
QAc-G-0112,TMA,0.155,0.845
QAc-G-0113,TMA,0.088,0.912
QAc-G-0114,TMA,0.031,0.969
QAc-G-0115,TMA,0.016,0.984
QAc-G-0116,TMA,0.052,0.948
QAc-G-0117,TMA,0.03,0.97
QAc-G-0118,TMA,0.01,0.99
QAc-G-0119,TMA,0.011,0.989
QAc-G-0120,TMA,0.018,0.982
QAc-G-0121,TMA,0.011,0.989
QAc-G-0122,TMA,0.058,0.942
QAc-G-0123,TMA,0.009,0.991
QAc-G-0124,TMA,0.019,0.981
QAc-G-0125,TMA,0.118,0.882
QAc-G-0126,TMA,0.072,0.928
QAc-G-0127,TMA,0.015,0.985
QAc-G-0128,TMA,0.085,0.915
QAc-G-0129,TMA,0.021,0.979
QAc-G-0130,TMA,0.01,0.99
QAc-G-0131,TMA,0.018,0.982
QAc-G-0132,TMA,0.035,0.965
QAc-G-0133,TMA,0.023,0.977
QAc-G-0134,TMA,0.034,0.966
QAc-G-0135,TMA,0.018,0.982
QAc-G-0136,TMA,0.039,0.961
QAc-G-0137,TMA,0.016,0.984
QAc-G-0138,TMA,0.025,0.975
QAc-G-0139,TMA,0.009,0.991
QAc-G-0140,TMA,0.02,0.98
QAc-G-0141,TMA,0.081,0.919
QAc-G-0142,TMA,0.012,0.988
QAc-G-0143,TMA,0.056,0.944
QAc-G-0144,TMA,0.034,0.966
QAc-G-0145,TMA,0.98,0.02
QAc-G-0146,TMA,0.027,0.973
QAc-G-0147,TMA,0.022,0.978
QAc-G-0148,TMA,0.017,0.983
QAc-G-0149,TMA,0.012,0.988
QAc-G-0150,TMA,0.987,0.013
QAc-G-0151,TMA,0.022,0.978
QAc-G-0152,TMA,0.026,0.974
QAc-G-0153,TMA,0.017,0.983
QAc-G-0154,TMA,0.022,0.978
QAc-G-0155,TMA,0.013,0.987
QAc-G-0158,TMA,0.03,0.97
QAc-G-0159,TMA,0.025,0.975
QAc-G-0160,TMA,0.99,0.01
QAc-G-0161,TMA,0.989,0.011
QAc-G-0162,TMA,0.541,0.459
QAc-G-0163,TMA,0.829,0.171
QAc-G-0164,TMA,0.986,0.014
QAc-G-0165,TMA,0.926,0.074
QAc-G-0166,TMA,0.974,0.026
QAc-G-0167,TMA,0.982,0.018
QAc-G-0168,TMA,0.989,0.011
QAc-G-0169,TMA,0.375,0.625
QAc-G-0170,TMA,0.972,0.028
QAc-G-0171,TMA,0.986,0.014
QAc-G-0172,TMA,0.047,0.953
QAc-G-0173,TMA,0.99,0.01
QAc-G-0174,TMA,0.701,0.299
QAc-G-0175,TMA,0.988,0.012
QAc-G-0176,TMA,0.882,0.118
QAc-G-0177,TMA,0.986,0.014
QAc-G-0178,TMA,0.975,0.025
QAc-G-0179,TMA,0.988,0.012
QAc-G-0180,TMA,0.986,0.014
QAc-G-0181,TMA,0.926,0.074
QAc-G-0182,TMA,0.821,0.179
QAc-G-0183,TMA,0.986,0.014
QAc-G-0184,TMA,0.983,0.017
QAc-G-0185,TMA,0.918,0.082
QAc-G-0186,TMA,0.923,0.077
QAc-G-0187,TMA,0.98,0.02
QAc-G-0188,TMA,0.123,0.877
QAc-G-0189,TMA,0.99,0.01
QAc-G-0190,TMA,0.98,0.02
QAc-G-0191,TMA,0.983,0.017
QAc-G-0192,TMA,0.99,0.01
QAc-G-0193,TMA,0.976,0.024
QAc-G-0194,TMA,0.976,0.024
QAc-G-0195,TMA,0.985,0.015
QAc-G-0196,TMA,0.989,0.011
QAc-G-0197,TMA,0.989,0.011
QAc-G-0198,TMA,0.983,0.017
QAc-G-0199,TMA,0.863,0.137
QAc-G-0200,TMA,0.954,0.046
QAc-G-0201,TMA,0.987,0.013
QAc-G-0202,TMA,0.985,0.015
QAc-G-0203,TMA,0.991,0.009
QAc-G-0204,TMA,0.98,0.02
QAc-G-0205,TMA,0.991,0.009
QAc-G-0206,TMA,0.604,0.396
QAc-G-0207,TMA,0.978,0.022
QAc-G-0208,TMA,0.986,0.014
QAc-G-0209,TMA,0.99,0.01
QAc-G-0210,TMA,0.984,0.016
QAc-G-0211,TMA,0.981,0.019
QAc-G-0212,TMA,0.988,0.012
QAc-G-0213,TMA,0.987,0.013
QAc-G-0214,TMA,0.991,0.009
QAc-G-0215,TMA,0.953,0.047
QAc-G-0216,TMA,0.574,0.426
QAc-G-0217,TMA,0.966,0.034
QAc-G-0218,TMA,0.973,0.027
QAc-G-0219,TMA,0.879,0.121
QAc-G-0220,TMA,0.891,0.109
QAc-G-0221,TMA,0.871,0.129
QAc-G-0222,TMA,0.988,0.012
QAc-G-0223,TMA,0.971,0.029
QAc-G-0224,TMA,0.985,0.015
QAc-G-0226,TMA,0.986,0.014
QAc-G-0227,TMA,0.033,0.967
QAc-G-0228,TMA,0.044,0.956
QAc-G-0229,TMA,0.034,0.966
QAc-G-0230,TMA,0.067,0.933
QAc-G-0231,TMA,0.989,0.011
QAc-G-0232,TMA,0.012,0.988
QAc-G-0233,TMA,0.033,0.967
QAc-G-0234,TMA,0.057,0.943
QAc-G-0235,TMA,0.03,0.97
QAc-G-0236,TMA,0.029,0.971
QAc-G-0237,TMA,0.084,0.916
QAc-G-0238,TMA,0.062,0.938
QAc-G-0239,TMA,0.018,0.982
QAc-G-0240,TMA,0.011,0.989
QAc-G-0241,TMA,0.029,0.971
QAc-G-0242,TMA,0.028,0.972
QAc-G-0243,TMA,0.018,0.982
QAc-G-0244,TMA,0.039,0.961
QAc-G-0245,TMA,0.02,0.98
QAc-G-0246,TMA,0.029,0.971
QAc-G-0247,TMA,0.018,0.982
QAc-G-0248,TMA,0.012,0.988
NA,NA,0,0
QAc-G-0249,TTA,0.103,0.897
NA,NA,0,0
QAc-G-0025,USNA,0.988,0.012
QAc-G-0028,USNA,0.068,0.932
NA,NA,0,0
QAc-G-0275,UWBG,0.99,0.01
NA,NA,0,0
QAc-G-0263,ZBGP,0.675,0.325
NA,NA,0,0
QAc-W-0001,Porter,0.014,0.986
QAc-W-0002,Porter,0.038,0.962
QAc-W-0003,Porter,0.059,0.941
QAc-W-0004,Porter,0.068,0.932
QAc-W-0005,Porter,0.03,0.97
QAc-W-0006,Porter,0.028,0.972
QAc-W-0007,Porter,0.017,0.983
QAc-W-0008,Porter,0.012,0.988
QAc-W-0009,Porter,0.036,0.964
QAc-W-0010,Porter,0.026,0.974
QAc-W-0011,Porter,0.065,0.935
QAc-W-0012,Porter,0.032,0.968
QAc-W-0013,Porter,0.241,0.759
QAc-W-0014,Porter,0.014,0.986
QAc-W-0015,Porter,0.21,0.79
QAc-W-0016,Porter,0.031,0.969
QAc-W-0017,Porter,0.112,0.888
QAc-W-0018,Porter,0.029,0.971
QAc-W-0019,Porter,0.037,0.963
QAc-W-0020,Porter,0.013,0.987
QAc-W-0021,Porter,0.187,0.813
QAc-W-0022,Porter,0.062,0.938
QAc-W-0023,Porter,0.021,0.979
QAc-W-0024,Porter,0.305,0.695
QAc-W-0025,Porter,0.021,0.979
QAc-W-0026,Porter,0.21,0.79
QAc-W-0027,Porter,0.026,0.974
QAc-W-0028,Porter,0.017,0.983
QAc-W-0029,Porter,0.015,0.985
QAc-W-0030,Porter,0.038,0.962
QAc-W-0031,Porter,0.166,0.834
QAc-W-0032,Porter,0.012,0.988
QAc-W-0033,Porter,0.027,0.973
QAc-W-0034,Porter,0.015,0.985
QAc-W-0035,Porter,0.058,0.942
QAc-W-0036,Porter,0.014,0.986
QAc-W-0037,Porter,0.098,0.902
QAc-W-0038,Porter,0.031,0.969
QAc-W-0039,Porter,0.205,0.795
QAc-W-0040,Porter,0.043,0.957
QAc-W-0041,Porter,0.319,0.681
NA,NA,0,0
QAc-W-0042,Magazine,0.057,0.943
QAc-W-0043,Magazine,0.092,0.908
QAc-W-0044,Magazine,0.035,0.965
QAc-W-0045,Magazine,0.025,0.975
QAc-W-0046,Magazine,0.08,0.92
QAc-W-0047,Magazine,0.02,0.98
QAc-W-0048,Magazine,0.019,0.981
QAc-W-0049,Magazine,0.023,0.977
QAc-W-0050,Magazine,0.08,0.92
QAc-W-0051,Magazine,0.04,0.96
QAc-W-0052,Magazine,0.012,0.988
QAc-W-0053,Magazine,0.01,0.99
QAc-W-0054,Magazine,0.168,0.832
QAc-W-0055,Magazine,0.755,0.245
QAc-W-0056,Magazine,0.139,0.861
QAc-W-0057,Magazine,0.28,0.72
QAc-W-0058,Magazine,0.372,0.628
QAc-W-0059,Magazine,0.015,0.985
QAc-W-0060,Magazine,0.63,0.37
QAc-W-0061,Magazine,0.653,0.347
QAc-W-0062,Magazine,0.63,0.37
QAc-W-0063,Magazine,0.29,0.71
QAc-W-0064,Magazine,0.71,0.29
QAc-W-0065,Magazine,0.495,0.505
QAc-W-0066,Magazine,0.99,0.01
QAc-W-0067,Magazine,0.989,0.011
QAc-W-0068,Magazine,0.989,0.011
QAc-W-0069,Magazine,0.988,0.012
QAc-W-0070,Magazine,0.989,0.011
QAc-W-0071,Magazine,0.942,0.058
QAc-W-0072,Magazine,0.073,0.927
QAc-W-0073,Magazine,0.209,0.791
QAc-W-0074,Magazine,0.757,0.243
QAc-W-0075,Magazine,0.937,0.063
QAc-W-0076,Magazine,0.83,0.17
QAc-W-0077,Magazine,0.525,0.475
NA,NA,0,0
QAc-W-0078,Pryor,0.731,0.269
QAc-W-0079,Pryor,0.988,0.012
QAc-W-0080,Pryor,0.931,0.069
QAc-W-0081,Pryor,0.949,0.051
QAc-W-0082,Pryor,0.518,0.482
QAc-W-0083,Pryor,0.962,0.038
QAc-W-0084,Pryor,0.973,0.027
QAc-W-0085,Pryor,0.984,0.016
QAc-W-0086,Pryor,0.986,0.014
QAc-W-0087,Pryor,0.98,0.02
QAc-W-0088,Pryor,0.83,0.17
QAc-W-0089,Pryor,0.984,0.016
QAc-W-0090,Pryor,0.984,0.016
QAc-W-0091,Pryor,0.945,0.055
QAc-W-0092,Pryor,0.579,0.421
QAc-W-0093,Pryor,0.37,0.63
QAc-W-0094,Pryor,0.193,0.807
QAc-W-0095,Pryor,0.753,0.247
QAc-W-0096,Pryor,0.626,0.374
QAc-W-0097,Pryor,0.589,0.411
QAc-W-0098,Pryor,0.945,0.055
QAc-W-0099,Pryor,0.548,0.452
QAc-W-0100,Pryor,0.904,0.096
QAc-W-0101,Pryor,0.987,0.013
QAc-W-0104,Pryor,0.938,0.062
QAc-W-0105,Pryor,0.948,0.052
QAc-W-0106,Pryor,0.771,0.229
QAc-W-0107,Pryor,0.987,0.013
QAc-W-0108,Pryor,0.988,0.012
QAc-W-0109,Pryor,0.976,0.024
QAc-W-0110,Pryor,0.369,0.631
QAc-W-0111,Pryor,0.936,0.064
QAc-W-0112,Pryor,0.784,0.216
NA,NA,0,0
QAc-W-0113,Sugar_Loaf,0.023,0.977
QAc-W-0114,Sugar_Loaf,0.068,0.932
QAc-W-0115,Sugar_Loaf,0.034,0.966
QAc-W-0116,Sugar_Loaf,0.013,0.987
QAc-W-0117,Sugar_Loaf,0.013,0.987
QAc-W-0118,Sugar_Loaf,0.336,0.664
QAc-W-0119,Sugar_Loaf,0.067,0.933
QAc-W-0120,Sugar_Loaf,0.077,0.923
QAc-W-0121,Sugar_Loaf,0.078,0.922
QAc-W-0122,Sugar_Loaf,0.023,0.977
QAc-W-0123,Sugar_Loaf,0.048,0.952
QAc-W-0124,Sugar_Loaf,0.345,0.655
QAc-W-0125,Sugar_Loaf,0.186,0.814
QAc-W-0126,Sugar_Loaf,0.083,0.917
QAc-W-0127,Sugar_Loaf,0.018,0.982
QAc-W-0128,Sugar_Loaf,0.097,0.903
QAc-W-0129,Sugar_Loaf,0.024,0.976
QAc-W-0130,Sugar_Loaf,0.022,0.978
QAc-W-0131,Sugar_Loaf,0.035,0.965
QAc-W-0132,Sugar_Loaf,0.217,0.783
QAc-W-0133,Sugar_Loaf,0.354,0.646
QAc-W-0134,Sugar_Loaf,0.03,0.97
QAc-W-0135,Sugar_Loaf,0.035,0.965
QAc-W-0136,Sugar_Loaf,0.018,0.982
QAc-W-0137,Sugar_Loaf,0.014,0.986
QAc-W-0138,Sugar_Loaf,0.013,0.987
QAc-W-0139,Sugar_Loaf,0.116,0.884
QAc-W-0140,Sugar_Loaf,0.014,0.986
QAc-W-0141,Sugar_Loaf,0.033,0.967
QAc-W-0142,Sugar_Loaf,0.038,0.962
QAc-W-0143,Sugar_Loaf,0.042,0.958
QAc-W-0144,Sugar_Loaf,0.015,0.985
QAc-W-0145,Sugar_Loaf,0.016,0.984
QAc-W-0146,Sugar_Loaf,0.025,0.975
QAc-W-0147,Sugar_Loaf,0.045,0.955
QAc-W-0148,Sugar_Loaf,0.019,0.981
QAc-W-0149,Sugar_Loaf,0.025,0.975
QAc-W-0150,Sugar_Loaf,0.036,0.964
QAc-W-0151,Sugar_Loaf,0.033,0.967
QAc-W-0152,Sugar_Loaf,0.03,0.97
QAc-W-0153,Sugar_Loaf,0.087,0.913
QAc-W-0154,Sugar_Loaf,0.017,0.983
QAc-W-0155,Sugar_Loaf,0.017,0.983
QAc-W-0156,Sugar_Loaf,0.056,0.944
QAc-W-0157,Sugar_Loaf,0.02,0.98
QAc-W-0158,Sugar_Loaf,0.146,0.854
QAc-W-0159,Sugar_Loaf,0.015,0.985
QAc-W-0160,Sugar_Loaf,0.024,0.976
QAc-W-0161,Sugar_Loaf,0.011,0.989
QAc-W-0162,Sugar_Loaf,0.028,0.972
QAc-W-0163,Sugar_Loaf,0.019,0.981
QAc-W-0164,Sugar_Loaf,0.031,0.969
QAc-W-0165,Sugar_Loaf,0.044,0.956
QAc-W-0166,Sugar_Loaf,0.019,0.981
NA,NA,0,0
QAc-W-0167,Kessler,0.08,0.92
QAc-W-0168,Kessler,0.102,0.898
QAc-W-0169,Kessler,0.016,0.984
QAc-W-0170,Kessler,0.018,0.982
QAc-W-0171,Kessler,0.059,0.941
QAc-W-0172,Kessler,0.011,0.989
QAc-W-0173,Kessler,0.014,0.986
QAc-W-0174,Kessler,0.032,0.968
