Sample.Name,Pop,C1,C2
TMA-ZAIN-G-109,MBC,0.992,0.008
TMA-ZAIN-G-110,MBC,0.993,0.007
TMA-ZAIN-G-111,MBC,0.994,0.006
TMA-ZAIN-G-112,MBC,0.992,0.008
TMA-ZAIN-G-113,MBC,0.994,0.006
TMA-ZAIN-G-114,MBC,0.99,0.01
TMA-ZAIN-G-115,MBC,0.989,0.011
TMA-ZAIN-G-116,MBC,0.979,0.021
TMA-ZAIN-G-117,MBC,0.993,0.007
TMA-ZAIN-G-118,MBC,0.994,0.006
TMA-ZAIN-G-119,MBC,0.994,0.006
TMA-ZAIN-G-120,MBC,0.994,0.006
TMA-ZAIN-G-121,MBC,0.994,0.006
TMA-ZAIN-G-122,MBC,0.993,0.007
TMA-ZAIN-G-123,MBC,0.994,0.006
TMA-ZAIN-G-124,MBC,0.986,0.014
TMA-ZAIN-G-125,MBC,0.994,0.006
TMA-ZAIN-G-126,MBC,0.994,0.006
TMA-ZAIN-G-127,MBC,0.995,0.005
TMA-ZAIN-G-128,MBC,0.994,0.006
TMA-ZAIN-G-129,MBC,0.994,0.006
TMA-ZAIN-G-130,MBC,0.993,0.007
TMA-ZAIN-G-131,MBC,0.994,0.006
TMA-ZAIN-G-132,MBC,0.994,0.006
TMA-ZAIN-G-133,MBC,0.993,0.007
TMA-ZAIN-G-134,MBC,0.994,0.006
TMA-ZAIN-G-135,MBC,0.994,0.006
TMA-ZAIN-G-136,MBC,0.994,0.006
TMA-ZAIN-G-137,MBC,0.993,0.007
TMA-ZAIN-G-138,MBC,0.994,0.006
TMA-ZAIN-G-139,MBC,0.993,0.007
TMA-ZAIN-G-140,MBC,0.992,0.008
TMA-ZAIN-G-141,MBC,0.995,0.005
TMA-ZAIN-G-142,MBC,0.994,0.006
TMA-ZAIN-G-143,MBC,0.994,0.006
TMA-ZAIN-G-144,MBC,0.994,0.006
TMA-ZAIN-G-145,MBC,0.994,0.006
TMA-ZAIN-G-146,MBC,0.994,0.006
TMA-ZAIN-G-147,MBC,0.989,0.011
TMA-ZAIN-G-148,MBC,0.994,0.006
TMA-ZAIN-G-149,MBC,0.988,0.012
TMA-ZAIN-G-150,MBC,0.994,0.006
TMA-ZAIN-G-151,MBC,0.988,0.012
TMA-ZAIN-G-152,MBC,0.994,0.006
TMA-ZAIN-G-153,MBC,0.993,0.007
TMA-ZAIN-G-154,MBC,0.993,0.007
TMA-ZAIN-G-155,MBC,0.995,0.005
TMA-ZAIN-G-156,MBC,0.994,0.006
TMA-ZAIN-G-157,MBC,0.987,0.013
TMA-ZAIN-G-158,MBC,0.991,0.009
TMA-ZAIN-G-159,MBC,0.989,0.011
TMA-ZAIN-G-160,MBC,0.986,0.014
TMA-ZAIN-G-161,MBC,0.993,0.007
TMA-ZAIN-G-162,MBC,0.993,0.007
TMA-ZAIN-G-163,MBC,0.994,0.006
TMA-ZAIN-G-164,MBC,0.994,0.006
TMA-ZAIN-G-165,MBC,0.994,0.006
TMA-ZAIN-G-166,MBC,0.993,0.007
TMA-ZAIN-G-167,MBC,0.994,0.006
TMA-ZAIN-G-168,MBC,0.994,0.006
TMA-ZAIN-G-169,MBC,0.99,0.01
TMA-ZAIN-G-170,MBC,0.993,0.007
TMA-ZAIN-G-171,MBC,0.991,0.009
TMA-ZAIN-G-172,MBC,0.993,0.007
TMA-ZAIN-G-173,MBC,0.993,0.007
TMA-ZAIN-G-174,MBC,0.992,0.008
TMA-ZAIN-G-175,MBC,0.994,0.006
TMA-ZAIN-G-176,MBC,0.986,0.014
TMA-ZAIN-G-177,MBC,0.987,0.013
TMA-ZAIN-G-178,MBC,0.935,0.065
TMA-ZAIN-G-179,MBC,0.984,0.016
TMA-ZAIN-G-180,MBC,0.982,0.018
TMA-ZAIN-G-181,MBC,0.995,0.005
TMA-ZAIN-G-182,MBC,0.989,0.011
TMA-ZAIN-G-183,MBC,0.989,0.011
TMA-ZAIN-G-184,MBC,0.992,0.008
TMA-ZAIN-G-185,MBC,0.993,0.007
TMA-ZAIN-G-186,MBC,0.993,0.007
TMA-ZAIN-G-187,MBC,0.994,0.006
TMA-ZAIN-G-188,MBC,0.991,0.009
TMA-ZAIN-G-189,MBC,0.994,0.006
TMA-ZAIN-G-190,MBC,0.994,0.006
TMA-ZAIN-G-191,MBC,0.973,0.027
TMA-ZAIN-G-192,MBC,0.993,0.007
TMA-ZAIN-G-193,MBC,0.992,0.008
TMA-ZAIN-G-194,MBC,0.985,0.015
TMA-ZAIN-G-195,MBC,0.988,0.012
TMA-ZAIN-G-196,MBC,0.95,0.05
TMA-ZAIN-G-197,MBC,0.985,0.015
TMA-ZAIN-G-198,MBC,0.992,0.008
TMA-ZAIN-G-199,MBC,0.987,0.013
TMA-ZAIN-G-200,MBC,0.994,0.006
TMA-ZAIN-G-201,MBC,0.989,0.011
TMA-ZAIN-G-202,MBC,0.995,0.005
TMA-ZAIN-G-203,MBC,0.991,0.009
TMA-ZAIN-G-204,MBC,0.982,0.018
TMA-ZAIN-G-205,MBC,0.89,0.11
TMA-ZAIN-G-206,MBC,0.995,0.005
TMA-ZAIN-G-207,MBC,0.991,0.009
TMA-ZAIN-G-208,MBC,0.993,0.007
TMA-ZAIN-G-209,MBC,0.994,0.006
TMA-ZAIN-G-210,MBC,0.994,0.006
TMA-ZAIN-G-211,MBC,0.991,0.009
TMA-ZAIN-G-212,MBC,0.994,0.006
TMA-ZAIN-G-213,MBC,0.992,0.008
TMA-ZAIN-G-214,MBC,0.993,0.007
TMA-ZAIN-G-215,MBC,0.994,0.006
TMA-ZAIN-G-216,MBC,0.996,0.004
TMA-ZAIN-G-217,MBC,0.995,0.005
TMA-ZAIN-G-218,MBC,0.993,0.007
TMA-ZAIN-G-219,MBC,0.967,0.033
TMA-ZAIN-G-220,MBC,0.978,0.022
TMA-ZAIN-G-221,MBC,0.814,0.186
TMA-ZAIN-G-222,MBC,0.916,0.084
TMA-ZAIN-G-223,MBC,0.995,0.005
TMA-ZAIN-G-224,MBC,0.991,0.009
TMA-ZAIN-G-225,MBC,0.993,0.007
TMA-ZAIN-G-226,MBC,0.991,0.009
TMA-ZAIN-G-227,MBC,0.993,0.007
TMA-ZAIN-G-228,MBC,0.993,0.007
TMA-ZAIN-G-229,MBC,0.985,0.015
TMA-ZAIN-G-230,MBC,0.993,0.007
TMA-ZAIN-G-231,MBC,0.987,0.013
TMA-ZAIN-G-232,MBC,0.994,0.006
TMA-ZAIN-G-233,MBC,0.994,0.006
TMA-ZAIN-G-234,MBC,0.987,0.013
TMA-ZAIN-G-235,MBC,0.992,0.008
TMA-ZAIN-G-236,MBC,0.986,0.014
TMA-ZAIN-G-237,MBC,0.991,0.009
TMA-ZAIN-G-238,MBC,0.994,0.006
TMA-ZAIN-G-239,MBC,0.995,0.005
TMA-ZAIN-G-240,MBC,0.995,0.005
TMA-ZAIN-G-241,MBC,0.995,0.005
TMA-ZAIN-G-242,MBC,0.995,0.005
TMA-ZAIN-G-243,MBC,0.996,0.004
TMA-ZAIN-G-244,MBC,0.996,0.004
TMA-ZAIN-G-245,MBC,0.996,0.004
TMA-ZAIN-G-246,MBC,0.996,0.004
TMA-ZAIN-G-248,MBC,0.996,0.004
TMA-ZAIN-G-249,MBC,0.996,0.004
TMA-ZAIN-G-250,MBC,0.994,0.006
TMA-ZAIN-G-251,MBC,0.994,0.006
TMA-ZAIN-G-252,MBC,0.996,0.004
TMA-ZAIN-G-253,MBC,0.991,0.009
TMA-ZAIN-G-254,MBC,0.982,0.018
TMA-ZAIN-G-255,MBC,0.992,0.008
TMA-ZAIN-G-256,MBC,0.993,0.007
TMA-ZAIN-G-257,MBC,0.991,0.009
TMA-ZAIN-G-258,MBC,0.993,0.007
TMA-ZAIN-G-259,MBC,0.993,0.007
TMA-ZAIN-G-260,MBC,0.993,0.007
TMA-ZAIN-G-261,MBC,0.992,0.008
TMA-ZAIN-G-262,MBC,0.993,0.007
TMA-ZAIN-G-263,MBC,0.99,0.01
TMA-ZAIN-G-264,MBC,0.993,0.007
TMA-ZAIN-G-265,MBC,0.992,0.008
TMA-ZAIN-G-266,MBC,0.993,0.007
TMA-ZAIN-G-267,MBC,0.994,0.006
TMA-ZAIN-G-268,MBC,0.993,0.007
TMA-ZAIN-G-269,MBC,0.993,0.007
TMA-ZAIN-G-270,MBC,0.991,0.009
TMA-ZAIN-G-271,MBC,0.993,0.007
TMA-ZAIN-G-272,MBC,0.994,0.006
TMA-ZAIN-G-273,MBC,0.992,0.008
TMA-ZAIN-G-274,MBC,0.994,0.006
TMA-ZAIN-G-275,MBC,0.994,0.006
TMA-ZAIN-G-276,MBC,0.993,0.007
TMA-ZAIN-G-277,MBC,0.994,0.006
TMA-ZAIN-G-278,MBC,0.994,0.006
TMA-ZAIN-G-279,MBC,0.995,0.005
TMA-ZAIN-G-280,MBC,0.995,0.005
TMA-ZAIN-G-281,MBC,0.995,0.005
TMA-ZAIN-G-282,MBC,0.994,0.006
TMA-ZAIN-G-283,MBC,0.994,0.006
TMA-ZAIN-G-284,MBC,0.994,0.006
TMA-ZAIN-G-285,MBC,0.994,0.006
TMA-ZAIN-G-286,MBC,0.993,0.007
TMA-ZAIN-G-287,MBC,0.995,0.005
TMA-ZAIN-G-288,MBC,0.994,0.006
TMA-ZAIN-G-289,MBC,0.994,0.006
TMA-ZAIN-G-290,MBC,0.993,0.007
TMA-ZAIN-G-291,MBC,0.994,0.006
TMA-ZAIN-G-292,MBC,0.993,0.007
TMA-ZAIN-G-293,MBC,0.812,0.188
TMA-ZAIN-G-294,MBC,0.995,0.005
TMA-ZAIN-G-295,MBC,0.995,0.005
TMA-ZAIN-G-296,MBC,0.985,0.015
TMA-ZAIN-G-297,MBC,0.986,0.014
TMA-ZAIN-G-298,MBC,0.994,0.006
TMA-ZAIN-G-299,MBC,0.995,0.005
TMA-ZAIN-G-301,MBC,0.994,0.006
TMA-ZAIN-G-302,MBC,0.994,0.006
TMA-ZAIN-G-303,MBC,0.984,0.016
TMA-ZAIN-G-304,MBC,0.993,0.007
TMA-ZAIN-G-305,MBC,0.994,0.006
TMA-ZAIN-G-306,MBC,0.864,0.136
NA,NA,0,0
TMA-ZAIN-G-307,MSBG,0.994,0.006
TMA-ZAIN-G-308,MSBG,0.995,0.005
TMA-ZAIN-G-309,MSBG,0.994,0.006
TMA-ZAIN-G-310,MSBG,0.993,0.007
TMA-ZAIN-G-311,MSBG,0.992,0.008
TMA-ZAIN-G-312,MSBG,0.994,0.006
TMA-ZAIN-G-313,MSBG,0.994,0.006
TMA-ZAIN-G-314,MSBG,0.993,0.007
TMA-ZAIN-G-315,MSBG,0.992,0.008
TMA-ZAIN-G-316,MSBG,0.992,0.008
TMA-ZAIN-G-317,MSBG,0.875,0.125
TMA-ZAIN-G-318,MSBG,0.995,0.005
TMA-ZAIN-G-319,MSBG,0.994,0.006
TMA-ZAIN-G-320,MSBG,0.984,0.016
TMA-ZAIN-G-321,MSBG,0.993,0.007
NA,NA,0,0
TMA-ZAIN-G-322,AA,0.987,0.013
TMA-ZAIN-G-323,AA,0.994,0.006
NA,NA,0,0
TMA-ZAIN-G-324,HBG,0.992,0.008
TMA-ZAIN-G-325,HBG,0.993,0.007
NA,NA,0,0
TMA-ZAIN-G-326,FTBG,0.994,0.006
TMA-ZAIN-G-327,FTBG,0.992,0.008
TMA-ZAIN-G-328,FTBG,0.869,0.131
TMA-ZAIN-G-329,FTBG,0.956,0.044
TMA-ZAIN-G-330,FTBG,0.992,0.008
TMA-ZAIN-G-331,FTBG,0.992,0.008
TMA-ZAIN-G-332,FTBG,0.994,0.006
NA,NA,0,0
TMA-ZAIN-G-333,UCBBG,0.994,0.006
TMA-ZAIN-G-334,UCBBG,0.869,0.131
TMA-ZAIN-G-335,UCBBG,0.991,0.009
TMA-ZAIN-G-336,UCBBG,0.987,0.013
TMA-ZAIN-G-337,UCBBG,0.994,0.006
TMA-ZAIN-G-338,UCBBG,0.995,0.005
TMA-ZAIN-G-339,UCBBG,0.994,0.006
TMA-ZAIN-G-340,UCBBG,0.993,0.007
TMA-ZAIN-G-341,UCBBG,0.993,0.007
TMA-ZAIN-G-342,UCBBG,0.991,0.009
TMA-ZAIN-G-343,UCBBG,0.994,0.006
TMA-ZAIN-G-344,UCBBG,0.994,0.006
TMA-ZAIN-G-345,UCBBG,0.993,0.007
NA,NA,0,0
TMA-ZAIN-G-347,GWL,0.993,0.007
TMA-ZAIN-G-348,GWL,0.995,0.005
TMA-ZAIN-G-349,GWL,0.994,0.006
TMA-ZAIN-G-350,GWL,0.995,0.005
TMA-ZAIN-G-351,GWL,0.995,0.005
TMA-ZAIN-G-352,GWL,0.994,0.006
TMA-ZAIN-G-353,GWL,0.995,0.005
TMA-ZAIN-G-354,GWL,0.994,0.006
TMA-ZAIN-G-355,GWL,0.994,0.006
TMA-ZAIN-G-356,GWL,0.994,0.006
TMA-ZAIN-G-357,GWL,0.994,0.006
TMA-ZAIN-G-358,GWL,0.994,0.006
TMA-ZAIN-G-359,GWL,0.993,0.007
NA,NA,0,0
TMA-ZAIN-G-360,HPLG,0.994,0.006
TMA-ZAIN-G-361,HPLG,0.994,0.006
TMA-ZAIN-G-362,HPLG,0.986,0.014
TMA-ZAIN-G-363,HPLG,0.994,0.006
TMA-ZAIN-G-364,HPLG,0.995,0.005
TMA-ZAIN-G-365,HPLG,0.88,0.12
TMA-ZAIN-G-366,HPLG,0.995,0.005
NA,NA,0,0
TMA-ZAIN-G-367,NBG,0.995,0.005
TMA-ZAIN-G-368,NBG,0.99,0.01
TMA-ZAIN-G-369,NBG,0.994,0.006
TMA-ZAIN-G-370,NBG,0.981,0.019
TMA-ZAIN-G-371,NBG,0.99,0.01
TMA-ZAIN-G-372,NBG,0.981,0.019
TMA-ZAIN-G-373,NBG,0.994,0.006
TMA-ZAIN-G-374,NBG,0.857,0.143
TMA-ZAIN-G-376,NBG,0.993,0.007
TMA-ZAIN-G-377,NBG,0.992,0.008
TMA-ZAIN-G-378,NBG,0.988,0.012
NA,NA,0,0
TMA-ZAIN-G-379,KWTFBG,0.992,0.008
TMA-ZAIN-G-380,KWTFBG,0.995,0.005
TMA-ZAIN-G-381,KWTFBG,0.994,0.006
TMA-ZAIN-G-382,KWTFBG,0.993,0.007
TMA-ZAIN-G-383,KWTFBG,0.994,0.006
TMA-ZAIN-G-384,KWTFBG,0.994,0.006
TMA-ZAIN-G-385,KWTFBG,0.989,0.011
TMA-ZAIN-G-386,KWTFBG,0.931,0.069
TMA-ZAIN-G-387,KWTFBG,0.861,0.139
NA,NA,0,0
ZFB01,ZFB,0.503,0.497
ZFB02,ZFB,0.136,0.864
ZFB03,ZFB,0.167,0.833
ZFB04,ZFB,0.117,0.883
ZFB05,ZFB,0.333,0.667
ZFB06,ZFB,0.305,0.695
ZFB07,ZFB,0.01,0.99
ZFB08,ZFB,0.141,0.859
ZFB09,ZFB,0.295,0.705
ZFB10,ZFB,0.327,0.673
ZFB11,ZFB,0.702,0.298
ZFB12,ZFB,0.436,0.564
ZFB13,ZFB,0.038,0.962
ZFB14,ZFB,0.135,0.865
ZFB15,ZFB,0.442,0.558
ZFB16,ZFB,0.255,0.745
ZFB17,ZFB,0.271,0.729
ZFB18,ZFB,0.331,0.669
ZFB19,ZFB,0.042,0.958
ZFB20,ZFB,0.432,0.568
ZFB21,ZFB,0.374,0.626
ZFB22,ZFB,0.53,0.47
ZFB23,ZFB,0.307,0.693
ZFB24,ZFB,0.49,0.51
ZFB25,ZFB,0.37,0.63
ZFB26,ZFB,0.25,0.75
ZFB27,ZFB,0.781,0.219
ZFB28,ZFB,0.644,0.356
ZFB29,ZFB,0.484,0.516
ZFB30,ZFB,0.389,0.611
ZFB31,ZFB,0.045,0.955
ZFB32,ZFB,0.282,0.718
ZFB33,ZFB,0.473,0.527
ZFB34,ZFB,0.058,0.942
ZFB35,ZFB,0.074,0.926
NA,NA,0,0
ZFBP101,ZFBP1,0.008,0.992
ZFBP102,ZFBP1,0.012,0.988
ZFBP103,ZFBP1,0.006,0.994
ZFBP104,ZFBP1,0.007,0.993
ZFBP105,ZFBP1,0.014,0.986
ZFBP106,ZFBP1,0.007,0.993
ZFBP107,ZFBP1,0.01,0.99
ZFBP108,ZFBP1,0.007,0.993
ZFBP109,ZFBP1,0.032,0.968
ZFBP110,ZFBP1,0.01,0.99
ZFBP111,ZFBP1,0.007,0.993
ZFBP112,ZFBP1,0.01,0.99
ZFBP113,ZFBP1,0.009,0.991
ZFBP114,ZFBP1,0.009,0.991
ZFBP115,ZFBP1,0.006,0.994
ZFBP116,ZFBP1,0.007,0.993
ZFBP117,ZFBP1,0.007,0.993
ZFBP118,ZFBP1,0.01,0.99
ZFBP119,ZFBP1,0.006,0.994
ZFBP120,ZFBP1,0.011,0.989
ZFBP121,ZFBP1,0.01,0.99
ZFBP122,ZFBP1,0.009,0.991
ZFBP123,ZFBP1,0.006,0.994
ZFBP124,ZFBP1,0.009,0.991
ZFBP125,ZFBP1,0.006,0.994
ZFBP126,ZFBP1,0.008,0.992
ZFBP127,ZFBP1,0.015,0.985
ZFBP128,ZFBP1,0.009,0.991
ZFBP129,ZFBP1,0.008,0.992
ZFBP130,ZFBP1,0.007,0.993
ZFBP131,ZFBP1,0.013,0.987
ZFBP132,ZFBP1,0.012,0.988
ZFBP133,ZFBP1,0.007,0.993
ZFBP134,ZFBP1,0.01,0.99
ZFBP135,ZFBP1,0.008,0.992
ZFBP136,ZFBP1,0.007,0.993
NA,NA,0,0
ZFBP201,ZFBP2,0.011,0.989
ZFBP202,ZFBP2,0.011,0.989
ZFBP203,ZFBP2,0.009,0.991
ZFBP204,ZFBP2,0.008,0.992
ZFBP205,ZFBP2,0.009,0.991
ZFBP206,ZFBP2,0.007,0.993
ZFBP207,ZFBP2,0.005,0.995
ZFBP208,ZFBP2,0.01,0.99
ZFBP209,ZFBP2,0.014,0.986
ZFBP210,ZFBP2,0.011,0.989
ZFBP211,ZFBP2,0.01,0.99
ZFBP212,ZFBP2,0.01,0.99
ZFBP213,ZFBP2,0.007,0.993
ZFBP214,ZFBP2,0.006,0.994
ZFBP215,ZFBP2,0.008,0.992
ZFBP216,ZFBP2,0.014,0.986
ZFBP217,ZFBP2,0.009,0.991
ZFBP218,ZFBP2,0.007,0.993
ZFBP219,ZFBP2,0.009,0.991
ZFBP220,ZFBP2,0.007,0.993
ZFBP221,ZFBP2,0.009,0.991
ZFBP222,ZFBP2,0.009,0.991
ZFBP223,ZFBP2,0.009,0.991
ZFBP224,ZFBP2,0.008,0.992
ZFBP225,ZFBP2,0.007,0.993
ZFBP226,ZFBP2,0.01,0.99
ZFBP227,ZFBP2,0.007,0.993
ZFBP228,ZFBP2,0.008,0.992
ZFBP229,ZFBP2,0.009,0.991
ZFBP230,ZFBP2,0.01,0.99
ZFBP231,ZFBP2,0.011,0.989
ZFBP232,ZFBP2,0.011,0.989
ZFBP233,ZFBP2,0.016,0.984
NA,NA,0,0
ZFCC01,ZFCC,0.028,0.972
ZFCC03,ZFCC,0.006,0.994
ZFCC04,ZFCC,0.006,0.994
ZFCC05,ZFCC,0.006,0.994
ZFCC08,ZFCC,0.005,0.995
ZFCC09,ZFCC,0.005,0.995
ZFCC10,ZFCC,0.026,0.974
ZFCC11,ZFCC,0.032,0.968
ZFCC12,ZFCC,0.006,0.994
ZFCC13,ZFCC,0.006,0.994
ZFCC14,ZFCC,0.006,0.994
ZFCC15,ZFCC,0.006,0.994
ZFCC16,ZFCC,0.006,0.994
ZFCC17,ZFCC,0.006,0.994
ZFCC18,ZFCC,0.006,0.994
ZFCC19,ZFCC,0.027,0.973
ZFCC20,ZFCC,0.005,0.995
ZFCC21,ZFCC,0.006,0.994
ZFCC22,ZFCC,0.005,0.995
ZFCC26,ZFCC,0.005,0.995
ZFCC27,ZFCC,0.031,0.969
ZFCC29,ZFCC,0.004,0.996
ZFCC30,ZFCC,0.031,0.969
ZFCC32,ZFCC,0.005,0.995
ZFCC33,ZFCC,0.006,0.994
ZFCC34,ZFCC,0.006,0.994
ZFCC35,ZFCC,0.028,0.972
ZFCC36,ZFCC,0.007,0.993
ZFCC37,ZFCC,0.006,0.994
ZFCC40,ZFCC,0.037,0.963
ZFCC42,ZFCC,0.006,0.994
ZFCC44,ZFCC,0.007,0.993
ZFCC45,ZFCC,0.008,0.992
ZFCC46,ZFCC,0.005,0.995
ZFCC47,ZFCC,0.005,0.995
ZFCC48,ZFCC,0.005,0.995
ZFCC50,ZFCC,0.005,0.995
ZFCC51,ZFCC,0.006,0.994
ZFCC52,ZFCC,0.03,0.97
ZFCC53,ZFCC,0.031,0.969
NA,NA,0,0
ZFCNS01,ZFCNS,0.006,0.994
ZFCNS02,ZFCNS,0.005,0.995
ZFCNS05,ZFCNS,0.005,0.995
ZFCNS06,ZFCNS,0.005,0.995
ZFCNS07,ZFCNS,0.006,0.994
ZFCNS10,ZFCNS,0.006,0.994
ZFCNS11,ZFCNS,0.006,0.994
ZFCNS15,ZFCNS,0.006,0.994
ZFCNS17,ZFCNS,0.006,0.994
ZFCNS18,ZFCNS,0.005,0.995
ZFCNS19,ZFCNS,0.005,0.995
ZFCNS20,ZFCNS,0.006,0.994
ZFCNS21,ZFCNS,0.005,0.995
ZFCNS22,ZFCNS,0.006,0.994
ZFCNS23,ZFCNS,0.005,0.995
ZFCNS24,ZFCNS,0.005,0.995
ZFCNS25,ZFCNS,0.006,0.994
ZFCNS26,ZFCNS,0.005,0.995
ZFCNS27,ZFCNS,0.006,0.994
ZFCNS28,ZFCNS,0.006,0.994
ZFCNS29,ZFCNS,0.006,0.994
ZFCNS30,ZFCNS,0.005,0.995
ZFCNS31,ZFCNS,0.006,0.994
ZFCNS32,ZFCNS,0.005,0.995
ZFCNS33,ZFCNS,0.005,0.995
ZFCNS34,ZFCNS,0.005,0.995
ZFCNS35,ZFCNS,0.007,0.993
ZFCNS36,ZFCNS,0.005,0.995
ZFCNS37,ZFCNS,0.006,0.994
ZFCNS39,ZFCNS,0.005,0.995
ZFCNS40,ZFCNS,0.006,0.994
ZFCNS41,ZFCNS,0.009,0.991
ZFCNS42,ZFCNS,0.006,0.994
ZFCNS43,ZFCNS,0.006,0.994
