Ind,Pop,C1,C2
QAc-W-0051,Magazine,0.029,0.971
QAc-W-0052,Magazine,0.255,0.745
QAc-W-0053,Magazine,0.087,0.913
QAc-W-0054,Magazine,0.065,0.935
QAc-W-0055,Magazine,0.017,0.983
QAc-W-0056,Magazine,0.238,0.762
QAc-W-0057,Magazine,0.027,0.973
QAc-W-0058,Magazine,0.018,0.982
QAc-W-0059,Magazine,0.045,0.955
QAc-W-0060,Magazine,0.023,0.977
QAc-W-0061,Magazine,0.286,0.714
QAc-W-0062,Magazine,0.031,0.969
QAc-W-0063,Magazine,0.055,0.945
QAc-W-0064,Magazine,0.034,0.966
QAc-W-0065,Magazine,0.051,0.949
QAc-W-0066,Magazine,0.01,0.99
QAc-W-0067,Magazine,0.038,0.962
QAc-W-0068,Magazine,0.015,0.985
QAc-W-0069,Magazine,0.012,0.988
QAc-W-0070,Magazine,0.013,0.987
QAc-W-0071,Magazine,0.018,0.982
QAc-W-0072,Magazine,0.359,0.641
QAc-W-0073,Magazine,0.053,0.947
QAc-W-0074,Magazine,0.041,0.959
QAc-W-0075,Magazine,0.011,0.989
QAc-W-0076,Magazine,0.037,0.963
QAc-W-0077,Magazine,0.047,0.953
NA,NA,0,0
QAc-W-0078,Pryor,0.098,0.902
QAc-W-0079,Pryor,0.016,0.984
QAc-W-0080,Pryor,0.041,0.959
QAc-W-0081,Pryor,0.019,0.981
QAc-W-0082,Pryor,0.014,0.986
QAc-W-0083,Pryor,0.026,0.974
QAc-W-0084,Pryor,0.014,0.986
QAc-W-0085,Pryor,0.027,0.973
QAc-W-0086,Pryor,0.014,0.986
QAc-W-0087,Pryor,0.018,0.982
QAc-W-0088,Pryor,0.018,0.982
QAc-W-0089,Pryor,0.012,0.988
QAc-W-0090,Pryor,0.011,0.989
QAc-W-0091,Pryor,0.021,0.979
QAc-W-0092,Pryor,0.046,0.954
QAc-W-0093,Pryor,0.173,0.827
QAc-W-0094,Pryor,0.047,0.953
QAc-W-0095,Pryor,0.017,0.983
QAc-W-0096,Pryor,0.023,0.977
QAc-W-0097,Pryor,0.045,0.955
QAc-W-0098,Pryor,0.019,0.981
QAc-W-0099,Pryor,0.077,0.923
QAc-W-0100,Pryor,0.019,0.981
QAc-W-0101,Pryor,0.018,0.982
QAc-W-0104,Pryor,0.014,0.986
QAc-W-0105,Pryor,0.011,0.989
QAc-W-0106,Pryor,0.015,0.985
QAc-W-0107,Pryor,0.014,0.986
QAc-W-0108,Pryor,0.015,0.985
QAc-W-0109,Pryor,0.012,0.988
QAc-W-0110,Pryor,0.642,0.358
QAc-W-0111,Pryor,0.017,0.983
QAc-W-0112,Pryor,0.079,0.921
NA,NA,0,0
QAc-W-0113,Sugar_Loaf,0.984,0.016
QAc-W-0114,Sugar_Loaf,0.958,0.042
QAc-W-0115,Sugar_Loaf,0.986,0.014
QAc-W-0116,Sugar_Loaf,0.985,0.015
QAc-W-0117,Sugar_Loaf,0.991,0.009
QAc-W-0118,Sugar_Loaf,0.94,0.06
QAc-W-0119,Sugar_Loaf,0.98,0.02
QAc-W-0120,Sugar_Loaf,0.973,0.027
QAc-W-0121,Sugar_Loaf,0.979,0.021
QAc-W-0122,Sugar_Loaf,0.984,0.016
QAc-W-0123,Sugar_Loaf,0.97,0.03
QAc-W-0124,Sugar_Loaf,0.843,0.157
QAc-W-0125,Sugar_Loaf,0.975,0.025
QAc-W-0126,Sugar_Loaf,0.925,0.075
QAc-W-0127,Sugar_Loaf,0.981,0.019
QAc-W-0128,Sugar_Loaf,0.967,0.033
QAc-W-0129,Sugar_Loaf,0.984,0.016
QAc-W-0130,Sugar_Loaf,0.988,0.012
QAc-W-0131,Sugar_Loaf,0.974,0.026
QAc-W-0132,Sugar_Loaf,0.908,0.092
QAc-W-0133,Sugar_Loaf,0.595,0.405
QAc-W-0134,Sugar_Loaf,0.982,0.018
QAc-W-0135,Sugar_Loaf,0.98,0.02
QAc-W-0136,Sugar_Loaf,0.987,0.013
QAc-W-0137,Sugar_Loaf,0.99,0.01
QAc-W-0138,Sugar_Loaf,0.991,0.009
QAc-W-0139,Sugar_Loaf,0.86,0.14
QAc-W-0140,Sugar_Loaf,0.985,0.015
QAc-W-0141,Sugar_Loaf,0.964,0.036
QAc-W-0142,Sugar_Loaf,0.982,0.018
QAc-W-0143,Sugar_Loaf,0.971,0.029
QAc-W-0144,Sugar_Loaf,0.964,0.036
QAc-W-0145,Sugar_Loaf,0.989,0.011
QAc-W-0146,Sugar_Loaf,0.985,0.015
QAc-W-0147,Sugar_Loaf,0.985,0.015
QAc-W-0148,Sugar_Loaf,0.988,0.012
QAc-W-0149,Sugar_Loaf,0.954,0.046
QAc-W-0150,Sugar_Loaf,0.978,0.022
QAc-W-0151,Sugar_Loaf,0.984,0.016
QAc-W-0152,Sugar_Loaf,0.98,0.02
QAc-W-0153,Sugar_Loaf,0.469,0.531
QAc-W-0154,Sugar_Loaf,0.99,0.01
QAc-W-0155,Sugar_Loaf,0.987,0.013
QAc-W-0156,Sugar_Loaf,0.981,0.019
QAc-W-0157,Sugar_Loaf,0.985,0.015
QAc-W-0158,Sugar_Loaf,0.967,0.033
QAc-W-0159,Sugar_Loaf,0.991,0.009
QAc-W-0160,Sugar_Loaf,0.986,0.014
QAc-W-0161,Sugar_Loaf,0.988,0.012
QAc-W-0162,Sugar_Loaf,0.818,0.182
QAc-W-0163,Sugar_Loaf,0.974,0.026
QAc-W-0164,Sugar_Loaf,0.969,0.031
QAc-W-0165,Sugar_Loaf,0.976,0.024
QAc-W-0166,Sugar_Loaf,0.983,0.017
NA,NA,0,0
QAc-W-0167,Kessler,0.297,0.703
QAc-W-0168,Kessler,0.884,0.116
QAc-W-0169,Kessler,0.876,0.124
QAc-W-0170,Kessler,0.831,0.169
QAc-W-0171,Kessler,0.307,0.693
QAc-W-0172,Kessler,0.945,0.055
QAc-W-0173,Kessler,0.927,0.073
QAc-W-0174,Kessler,0.758,0.242
