Tissue_ID,Botanic_Garden,Accession
QAc-G-0275,UWBG,203-18
QAc-G-0276,FGT,*S2017/169
QAc-G-0277,FGT,*S2017/169
QAc-G-0278,FGT,*S2017/170
QAc-G-0279,FGT,*S2017/170
QAc-G-0280,FGT,*S2017/170
QAc-G-0281,FGT,*S2017/171
QAc-G-0282,FGT,*S2017/171
QAc-G-0283,Moore,1577m15
QAc-G-0284,CBG,2436-2005-4
QAc-G-0285,CBG,993-2006
QAc-G-0286,CBG,2869-2017*1/8
QAc-G-0287,CBG,2869-2017*2/8
QAc-G-0288,CBG,2869-2017*3/8
QAc-G-0289,CBG,2869-2017*4/8
QAc-G-0290,CBG,2869-2017*5/8
QAc-G-0291,CBG,2869-2017*6/8
QAc-G-0292,CBG,2869-2017*7/8
QAc-G-0293,CBG,2869-2017*8/8
QAc-G-0294,CBG,2870 -2017*1/8
QAc-G-0295,CBG,2870 -2017*2/8
QAc-G-0296,CBG,2870 -2017*3/8
QAc-G-0297,CBG,2870 -2017*4/8
QAc-G-0298,CBG,2870 -2017*5/8
QAc-G-0299,CBG,2870 -2017*6/8
QAc-G-0300,CBG,2870 -2017*7/8
QAc-G-0301,CBG,2870 -2017*8/8
QAc-G-0302,CBG,2871 -2017*1/5
QAc-G-0303,CBG,2871 -2017*2/5
QAc-G-0304,CBG,2871 -2017*3/5
QAc-G-0305,CBG,2871 -2017*4/5
QAc-G-0306,CBG,2871 -2017*5/5
QAc-G-0307,CBG,2872 -2017*1/6
QAc-G-0308,CBG,2872 -2017*2/6
QAc-G-0309,CBG,2872 -2017*3/6
QAc-G-0310,CBG,2872 -2017*4/6
QAc-G-0311,CBG,2872 -2017*5/6
QAc-G-0312,CBG,2872 -2017*6/6
QAc-G-0313,CBG,2436-2005*2
QAc-G-0314,CBG,2436-2005*3
QAc-G-0315,CBG,2436-2005*4
QAc-G-0316,CBG,2436-2005*6
