Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9
QAc-W-0027,Porter,0.006,0.006,0.012,0.114,0.831,0.005,0.014,0.007,0.005
QAc-W-0028,Porter,0.003,0.005,0.247,0.484,0.198,0.017,0.031,0.006,0.009
QAc-W-0029,Porter,0.007,0.04,0.013,0.308,0.517,0.063,0.042,0.006,0.003
QAc-W-0030,Porter,0.01,0.127,0.043,0.114,0.38,0.016,0.277,0.006,0.029
QAc-W-0031,Porter,0.026,0.004,0.005,0.164,0.778,0.009,0.007,0.004,0.003
QAc-W-0032,Porter,0.004,0.007,0.009,0.902,0.045,0.005,0.014,0.011,0.003
QAc-W-0033,Porter,0.014,0.046,0.009,0.221,0.104,0.033,0.506,0.053,0.013
QAc-W-0034,Porter,0.005,0.004,0.007,0.031,0.924,0.013,0.007,0.007,0.003
QAc-W-0035,Porter,0.013,0.183,0.02,0.094,0.45,0.007,0.182,0.032,0.019
QAc-W-0036,Porter,0.005,0.005,0.007,0.153,0.791,0.015,0.011,0.009,0.004
QAc-W-0037,Porter,0.01,0.007,0.011,0.034,0.868,0.015,0.03,0.015,0.01
QAc-W-0038,Porter,0.005,0.011,0.563,0.287,0.018,0.006,0.032,0.008,0.07
QAc-W-0039,Porter,0.008,0.004,0.005,0.03,0.888,0.014,0.008,0.005,0.038
QAc-W-0040,Porter,0.015,0.006,0.007,0.72,0.023,0.004,0.03,0.185,0.011
QAc-W-0041,Porter,0.078,0.018,0.007,0.028,0.806,0.025,0.024,0.01,0.005
NA,NA,0,0,0,0,0,0,0,0,0
QAc-W-0042,Magazine,0.004,0.009,0.004,0.005,0.006,0.955,0.006,0.006,0.005
QAc-W-0043,Magazine,0.004,0.006,0.007,0.004,0.006,0.954,0.007,0.004,0.009
QAc-W-0044,Magazine,0.005,0.008,0.014,0.009,0.012,0.896,0.013,0.022,0.021
QAc-W-0045,Magazine,0.005,0.286,0.009,0.004,0.006,0.671,0.008,0.005,0.006
QAc-W-0046,Magazine,0.006,0.005,0.005,0.004,0.005,0.962,0.005,0.004,0.004
QAc-W-0047,Magazine,0.003,0.005,0.005,0.005,0.009,0.928,0.007,0.008,0.029
QAc-W-0048,Magazine,0.004,0.007,0.005,0.013,0.005,0.951,0.008,0.004,0.004
QAc-W-0049,Magazine,0.005,0.005,0.011,0.005,0.005,0.953,0.01,0.004,0.003
QAc-W-0050,Magazine,0.004,0.743,0.036,0.004,0.011,0.065,0.105,0.026,0.005
QAc-W-0051,Magazine,0.012,0.885,0.005,0.009,0.022,0.02,0.018,0.005,0.024
QAc-W-0052,Magazine,0.005,0.016,0.016,0.282,0.043,0.508,0.094,0.022,0.014
QAc-W-0053,Magazine,0.007,0.021,0.006,0.014,0.024,0.887,0.025,0.01,0.005
QAc-W-0054,Magazine,0.009,0.809,0.007,0.008,0.006,0.02,0.031,0.02,0.09
QAc-W-0055,Magazine,0.007,0.9,0.006,0.005,0.004,0.006,0.008,0.011,0.053
QAc-W-0056,Magazine,0.012,0.83,0.02,0.05,0.027,0.006,0.034,0.011,0.01
QAc-W-0057,Magazine,0.009,0.801,0.019,0.007,0.006,0.029,0.023,0.01,0.098
QAc-W-0058,Magazine,0.014,0.914,0.024,0.005,0.004,0.02,0.01,0.003,0.006
QAc-W-0059,Magazine,0.003,0.005,0.007,0.004,0.004,0.962,0.005,0.004,0.006
QAc-W-0060,Magazine,0.004,0.005,0.005,0.004,0.009,0.008,0.008,0.01,0.947
QAc-W-0061,Magazine,0.01,0.019,0.037,0.022,0.044,0.017,0.068,0.038,0.744
QAc-W-0062,Magazine,0.008,0.003,0.004,0.003,0.003,0.004,0.004,0.007,0.964
QAc-W-0063,Magazine,0.111,0.012,0.008,0.027,0.013,0.005,0.054,0.017,0.754
QAc-W-0064,Magazine,0.008,0.009,0.006,0.009,0.005,0.004,0.009,0.007,0.943
QAc-W-0065,Magazine,0.009,0.103,0.103,0.01,0.007,0.006,0.022,0.022,0.72
QAc-W-0066,Magazine,0.015,0.004,0.004,0.004,0.011,0.006,0.005,0.003,0.946
QAc-W-0067,Magazine,0.011,0.005,0.004,0.004,0.008,0.006,0.007,0.032,0.922
QAc-W-0068,Magazine,0.006,0.006,0.004,0.005,0.01,0.006,0.011,0.004,0.946
QAc-W-0069,Magazine,0.008,0.004,0.003,0.004,0.011,0.004,0.004,0.003,0.959
QAc-W-0070,Magazine,0.004,0.004,0.003,0.002,0.005,0.003,0.004,0.003,0.971
QAc-W-0071,Magazine,0.006,0.004,0.007,0.004,0.005,0.006,0.006,0.004,0.957
QAc-W-0072,Magazine,0.007,0.048,0.008,0.016,0.012,0.005,0.031,0.067,0.807
QAc-W-0073,Magazine,0.015,0.028,0.019,0.016,0.022,0.019,0.044,0.013,0.824
QAc-W-0074,Magazine,0.007,0.006,0.006,0.01,0.007,0.003,0.006,0.008,0.947
QAc-W-0075,Magazine,0.006,0.005,0.004,0.003,0.003,0.003,0.004,0.004,0.969
QAc-W-0076,Magazine,0.006,0.006,0.007,0.004,0.004,0.004,0.007,0.029,0.934
QAc-W-0077,Magazine,0.004,0.039,0.012,0.009,0.022,0.014,0.012,0.008,0.877
NA,NA,0,0,0,0,0,0,0,0,0
QAc-W-0078,Pryor,0.668,0.014,0.014,0.017,0.1,0.006,0.145,0.026,0.011
QAc-W-0079,Pryor,0.947,0.006,0.005,0.005,0.009,0.006,0.006,0.007,0.009
QAc-W-0080,Pryor,0.91,0.004,0.005,0.02,0.036,0.004,0.011,0.005,0.005
QAc-W-0081,Pryor,0.958,0.004,0.003,0.005,0.009,0.006,0.007,0.004,0.005
QAc-W-0082,Pryor,0.501,0.457,0.008,0.003,0.006,0.004,0.012,0.004,0.005
QAc-W-0083,Pryor,0.919,0.007,0.007,0.008,0.01,0.005,0.008,0.011,0.025
QAc-W-0084,Pryor,0.968,0.003,0.003,0.005,0.007,0.003,0.004,0.003,0.004
QAc-W-0085,Pryor,0.958,0.004,0.004,0.003,0.005,0.005,0.006,0.01,0.005
QAc-W-0086,Pryor,0.948,0.006,0.008,0.004,0.01,0.006,0.006,0.008,0.004
QAc-W-0087,Pryor,0.963,0.004,0.005,0.004,0.006,0.004,0.005,0.006,0.003
QAc-W-0088,Pryor,0.95,0.009,0.007,0.004,0.005,0.006,0.011,0.004,0.003
QAc-W-0089,Pryor,0.95,0.014,0.006,0.006,0.005,0.005,0.006,0.004,0.005
QAc-W-0090,Pryor,0.959,0.008,0.004,0.005,0.007,0.006,0.005,0.003,0.004
QAc-W-0091,Pryor,0.958,0.005,0.003,0.005,0.009,0.004,0.007,0.006,0.003
QAc-W-0092,Pryor,0.696,0.006,0.013,0.018,0.197,0.032,0.024,0.009,0.005
QAc-W-0093,Pryor,0.579,0.032,0.206,0.038,0.013,0.006,0.097,0.024,0.005
QAc-W-0094,Pryor,0.715,0.011,0.054,0.153,0.014,0.007,0.026,0.01,0.011
QAc-W-0095,Pryor,0.907,0.01,0.007,0.037,0.01,0.007,0.009,0.006,0.009
QAc-W-0096,Pryor,0.786,0.018,0.04,0.075,0.006,0.01,0.024,0.01,0.032
QAc-W-0097,Pryor,0.571,0.047,0.073,0.023,0.097,0.022,0.155,0.006,0.006
QAc-W-0098,Pryor,0.945,0.011,0.007,0.007,0.005,0.004,0.013,0.004,0.003
QAc-W-0099,Pryor,0.852,0.008,0.006,0.004,0.018,0.028,0.024,0.057,0.004
QAc-W-0100,Pryor,0.968,0.005,0.005,0.004,0.005,0.002,0.004,0.004,0.003
QAc-W-0101,Pryor,0.957,0.005,0.005,0.005,0.007,0.004,0.006,0.006,0.006
QAc-W-0104,Pryor,0.937,0.008,0.012,0.004,0.005,0.011,0.008,0.01,0.004
QAc-W-0105,Pryor,0.969,0.004,0.004,0.003,0.005,0.004,0.004,0.003,0.004
QAc-W-0106,Pryor,0.942,0.008,0.009,0.007,0.009,0.007,0.008,0.006,0.004
QAc-W-0107,Pryor,0.904,0.009,0.017,0.007,0.007,0.011,0.016,0.007,0.022
QAc-W-0108,Pryor,0.924,0.006,0.009,0.004,0.006,0.01,0.013,0.008,0.02
QAc-W-0109,Pryor,0.907,0.015,0.012,0.007,0.009,0.012,0.014,0.004,0.019
QAc-W-0110,Pryor,0.162,0.004,0.006,0.077,0.722,0.005,0.01,0.008,0.006
QAc-W-0111,Pryor,0.955,0.004,0.005,0.004,0.006,0.007,0.008,0.004,0.006
QAc-W-0112,Pryor,0.932,0.017,0.009,0.01,0.007,0.003,0.009,0.009,0.003
NA,NA,0,0,0,0,0,0,0,0,0
QAc-W-0113,Sugar_Loaf,0.006,0.008,0.008,0.012,0.009,0.006,0.01,0.937,0.004
QAc-W-0114,Sugar_Loaf,0.021,0.006,0.014,0.009,0.007,0.014,0.017,0.905,0.008
QAc-W-0115,Sugar_Loaf,0.008,0.005,0.008,0.01,0.01,0.003,0.013,0.936,0.007
QAc-W-0116,Sugar_Loaf,0.006,0.007,0.026,0.008,0.012,0.014,0.014,0.91,0.003
QAc-W-0117,Sugar_Loaf,0.003,0.004,0.012,0.004,0.007,0.005,0.008,0.953,0.004
QAc-W-0118,Sugar_Loaf,0.018,0.009,0.023,0.008,0.006,0.004,0.013,0.888,0.031
QAc-W-0119,Sugar_Loaf,0.006,0.013,0.014,0.005,0.009,0.006,0.04,0.9,0.007
QAc-W-0120,Sugar_Loaf,0.009,0.007,0.008,0.008,0.012,0.006,0.033,0.904,0.012
QAc-W-0121,Sugar_Loaf,0.004,0.012,0.008,0.005,0.008,0.019,0.019,0.907,0.018
QAc-W-0122,Sugar_Loaf,0.005,0.01,0.065,0.015,0.012,0.011,0.061,0.815,0.005
QAc-W-0123,Sugar_Loaf,0.01,0.016,0.08,0.005,0.006,0.005,0.026,0.839,0.013
QAc-W-0124,Sugar_Loaf,0.058,0.007,0.008,0.011,0.143,0.003,0.02,0.644,0.105
QAc-W-0125,Sugar_Loaf,0.018,0.007,0.01,0.01,0.008,0.006,0.012,0.923,0.007
QAc-W-0126,Sugar_Loaf,0.04,0.017,0.033,0.01,0.011,0.021,0.054,0.803,0.011
QAc-W-0127,Sugar_Loaf,0.005,0.008,0.004,0.012,0.006,0.01,0.011,0.939,0.005
QAc-W-0128,Sugar_Loaf,0.051,0.005,0.011,0.013,0.048,0.007,0.027,0.831,0.006
QAc-W-0129,Sugar_Loaf,0.005,0.008,0.007,0.019,0.132,0.005,0.054,0.758,0.011
QAc-W-0130,Sugar_Loaf,0.007,0.004,0.007,0.037,0.02,0.006,0.014,0.902,0.004
QAc-W-0131,Sugar_Loaf,0.009,0.04,0.041,0.011,0.005,0.004,0.188,0.697,0.006
QAc-W-0132,Sugar_Loaf,0.016,0.027,0.023,0.012,0.029,0.006,0.058,0.785,0.045
QAc-W-0133,Sugar_Loaf,0.111,0.067,0.007,0.011,0.007,0.014,0.481,0.28,0.023
QAc-W-0134,Sugar_Loaf,0.004,0.005,0.005,0.004,0.005,0.006,0.006,0.96,0.005
QAc-W-0135,Sugar_Loaf,0.005,0.006,0.011,0.04,0.043,0.009,0.016,0.846,0.025
QAc-W-0136,Sugar_Loaf,0.004,0.004,0.005,0.004,0.005,0.003,0.005,0.967,0.004
QAc-W-0137,Sugar_Loaf,0.003,0.004,0.004,0.003,0.004,0.004,0.005,0.969,0.004
QAc-W-0138,Sugar_Loaf,0.003,0.004,0.006,0.007,0.005,0.003,0.006,0.962,0.004
QAc-W-0139,Sugar_Loaf,0.065,0.033,0.033,0.044,0.055,0.006,0.338,0.374,0.053
QAc-W-0140,Sugar_Loaf,0.006,0.015,0.041,0.008,0.018,0.05,0.019,0.838,0.005
QAc-W-0141,Sugar_Loaf,0.011,0.024,0.27,0.033,0.065,0.013,0.21,0.36,0.015
QAc-W-0142,Sugar_Loaf,0.004,0.007,0.004,0.004,0.004,0.006,0.007,0.956,0.007
QAc-W-0143,Sugar_Loaf,0.009,0.009,0.005,0.011,0.01,0.018,0.029,0.903,0.006
QAc-W-0144,Sugar_Loaf,0.006,0.02,0.009,0.007,0.006,0.087,0.016,0.844,0.005
QAc-W-0145,Sugar_Loaf,0.003,0.008,0.015,0.004,0.004,0.004,0.017,0.939,0.005
QAc-W-0146,Sugar_Loaf,0.006,0.007,0.005,0.007,0.012,0.005,0.009,0.945,0.004
QAc-W-0147,Sugar_Loaf,0.004,0.004,0.005,0.005,0.005,0.003,0.005,0.964,0.005
QAc-W-0148,Sugar_Loaf,0.003,0.005,0.006,0.006,0.007,0.004,0.006,0.956,0.006
QAc-W-0149,Sugar_Loaf,0.011,0.015,0.024,0.02,0.013,0.079,0.097,0.735,0.006
QAc-W-0150,Sugar_Loaf,0.013,0.013,0.014,0.063,0.024,0.01,0.041,0.816,0.007
QAc-W-0151,Sugar_Loaf,0.008,0.008,0.009,0.008,0.016,0.004,0.018,0.921,0.007
QAc-W-0152,Sugar_Loaf,0.004,0.007,0.006,0.004,0.006,0.007,0.007,0.951,0.007
QAc-W-0153,Sugar_Loaf,0.032,0.017,0.437,0.005,0.013,0.004,0.44,0.023,0.029
QAc-W-0154,Sugar_Loaf,0.005,0.012,0.018,0.065,0.021,0.003,0.153,0.718,0.004
QAc-W-0155,Sugar_Loaf,0.004,0.009,0.005,0.008,0.004,0.005,0.006,0.953,0.006
QAc-W-0156,Sugar_Loaf,0.045,0.015,0.012,0.08,0.038,0.005,0.05,0.751,0.003
QAc-W-0157,Sugar_Loaf,0.004,0.007,0.016,0.006,0.011,0.012,0.069,0.86,0.016
QAc-W-0158,Sugar_Loaf,0.046,0.006,0.013,0.034,0.053,0.005,0.019,0.814,0.01
QAc-W-0159,Sugar_Loaf,0.005,0.005,0.006,0.007,0.016,0.006,0.011,0.941,0.003
QAc-W-0160,Sugar_Loaf,0.006,0.006,0.006,0.024,0.012,0.005,0.15,0.786,0.006
QAc-W-0161,Sugar_Loaf,0.006,0.005,0.006,0.029,0.038,0.016,0.025,0.873,0.003
QAc-W-0162,Sugar_Loaf,0.005,0.013,0.006,0.004,0.004,0.018,0.012,0.788,0.15
QAc-W-0163,Sugar_Loaf,0.004,0.057,0.008,0.006,0.005,0.012,0.019,0.885,0.005
QAc-W-0164,Sugar_Loaf,0.007,0.012,0.011,0.006,0.007,0.008,0.017,0.919,0.013
QAc-W-0165,Sugar_Loaf,0.003,0.015,0.013,0.006,0.006,0.003,0.044,0.882,0.028
QAc-W-0166,Sugar_Loaf,0.006,0.015,0.01,0.043,0.022,0.006,0.02,0.869,0.008
NA,NA,0,0,0,0,0,0,0,0,0
QAc-W-0167,Kessler,0.005,0.005,0.969,0.003,0.003,0.003,0.005,0.004,0.004
QAc-W-0168,Kessler,0.006,0.014,0.147,0.008,0.039,0.022,0.609,0.102,0.052
QAc-W-0169,Kessler,0.003,0.07,0.036,0.013,0.016,0.006,0.841,0.006,0.008
QAc-W-0170,Kessler,0.005,0.045,0.188,0.011,0.027,0.009,0.703,0.008,0.004
QAc-W-0171,Kessler,0.004,0.005,0.969,0.004,0.003,0.003,0.005,0.004,0.004
QAc-W-0172,Kessler,0.005,0.007,0.036,0.01,0.005,0.004,0.923,0.007,0.002
QAc-W-0173,Kessler,0.006,0.007,0.943,0.008,0.005,0.005,0.012,0.008,0.006
QAc-W-0174,Kessler,0.007,0.027,0.689,0.004,0.01,0.008,0.223,0.019,0.014
