Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8
QAc-G-0004,MBG,0.003,0.044,0.006,0.02,0.904,0.005,0.009,0.008
QAc-G-0005,MBG,0.003,0.003,0.003,0.003,0.004,0.98,0.003,0.002
QAc-G-0006,MBG,0.005,0.014,0.013,0.068,0.881,0.003,0.003,0.014
QAc-G-0283,Moore,0.004,0.007,0.276,0.544,0.035,0.004,0.004,0.127
QAc-G-0265,MA,0.004,0.021,0.007,0.326,0.026,0.006,0.146,0.464
QAc-G-0266,MA,0.006,0.002,0.002,0.003,0.002,0.002,0.979,0.004
QAc-G-0267,MA,0.004,0.215,0.01,0.011,0.004,0.122,0.006,0.628
QAc-G-0268,MA,0.543,0.006,0.005,0.411,0.014,0.01,0.005,0.007
QAc-G-0269,MA,0.978,0.004,0.003,0.002,0.003,0.003,0.004,0.003
QAc-G-0270,MA,0.006,0.963,0.005,0.005,0.004,0.01,0.004,0.005
QAc-G-0271,MA,0.004,0.76,0.008,0.112,0.012,0.095,0.003,0.005
QAc-G-0272,MA,0.016,0.944,0.006,0.006,0.008,0.003,0.006,0.01
QAc-G-0273,MA,0.005,0.004,0.005,0.007,0.005,0.006,0.965,0.004
QAc-G-0274,MA,0.002,0.003,0.003,0.002,0.002,0.983,0.002,0.003
QAc-G-0251,Peckerwood,0.004,0.946,0.007,0.007,0.013,0.015,0.004,0.004
QAc-G-0252,Peckerwood,0.005,0.952,0.013,0.007,0.011,0.005,0.004,0.003
QAc-G-0253,Peckerwood,0.005,0.004,0.003,0.006,0.003,0.003,0.972,0.004
QAc-G-0254,Peckerwood,0.003,0.002,0.003,0.002,0.002,0.003,0.982,0.003
QAc-G-0255,Peckerwood,0.005,0.014,0.007,0.021,0.931,0.008,0.005,0.009
QAc-G-0256,Peckerwood,0.008,0.006,0.003,0.004,0.96,0.007,0.004,0.007
QAc-G-0257,Peckerwood,0.003,0.009,0.049,0.026,0.855,0.043,0.008,0.006
QAc-G-0258,Peckerwood,0.003,0.005,0.003,0.011,0.965,0.006,0.003,0.004
QAc-G-0259,Peckerwood,0.002,0.004,0.006,0.975,0.007,0.002,0.002,0.002
QAc-G-0260,Peckerwood,0.032,0.013,0.037,0.819,0.031,0.05,0.009,0.01
QAc-G-0261,Peckerwood,0.004,0.01,0.009,0.484,0.062,0.424,0.003,0.004
QAc-G-0262,Peckerwood,0.015,0.005,0.015,0.658,0.253,0.03,0.008,0.016
QAc-G-0010,TMA,0.032,0.013,0.008,0.011,0.003,0.004,0.012,0.917
QAc-G-0011,TMA,0.004,0.006,0.955,0.019,0.004,0.005,0.004,0.003
QAc-G-0015,TMA,0.003,0.013,0.036,0.027,0.092,0.007,0.805,0.018
QAc-G-0106,TMA,0.002,0.012,0.007,0.018,0.924,0.031,0.002,0.003
QAc-G-0107,TMA,0.006,0.004,0.006,0.012,0.954,0.003,0.007,0.008
QAc-G-0108,TMA,0.006,0.006,0.004,0.005,0.969,0.005,0.002,0.004
QAc-G-0109,TMA,0.006,0.007,0.02,0.049,0.868,0.03,0.011,0.008
QAc-G-0110,TMA,0.077,0.038,0.012,0.026,0.817,0.002,0.008,0.02
QAc-G-0111,TMA,0.005,0.01,0.008,0.009,0.938,0.005,0.005,0.021
QAc-G-0112,TMA,0.027,0.005,0.003,0.022,0.918,0.004,0.009,0.012
QAc-G-0113,TMA,0.008,0.006,0.005,0.05,0.869,0.022,0.022,0.018
QAc-G-0114,TMA,0.016,0.042,0.006,0.027,0.879,0.003,0.016,0.01
QAc-G-0115,TMA,0.009,0.005,0.004,0.012,0.958,0.005,0.004,0.004
QAc-G-0116,TMA,0.01,0.004,0.006,0.008,0.95,0.006,0.006,0.011
QAc-G-0117,TMA,0.005,0.189,0.012,0.127,0.524,0.077,0.012,0.053
QAc-G-0118,TMA,0.003,0.006,0.01,0.008,0.933,0.023,0.002,0.015
QAc-G-0119,TMA,0.002,0.02,0.004,0.018,0.925,0.024,0.006,0.003
QAc-G-0120,TMA,0.006,0.013,0.013,0.099,0.85,0.006,0.006,0.007
QAc-G-0121,TMA,0.007,0.007,0.003,0.005,0.007,0.964,0.004,0.004
QAc-G-0122,TMA,0.035,0.008,0.005,0.005,0.008,0.924,0.004,0.01
QAc-G-0123,TMA,0.002,0.004,0.002,0.002,0.002,0.983,0.002,0.002
QAc-G-0124,TMA,0.003,0.005,0.004,0.003,0.004,0.975,0.003,0.003
QAc-G-0125,TMA,0.01,0.007,0.038,0.328,0.032,0.483,0.053,0.048
QAc-G-0126,TMA,0.007,0.011,0.014,0.632,0.1,0.221,0.009,0.005
QAc-G-0127,TMA,0.003,0.007,0.008,0.005,0.008,0.959,0.005,0.004
QAc-G-0128,TMA,0.006,0.004,0.003,0.003,0.003,0.976,0.003,0.003
QAc-G-0129,TMA,0.003,0.003,0.002,0.002,0.003,0.982,0.002,0.002
QAc-G-0130,TMA,0.004,0.008,0.015,0.005,0.026,0.933,0.002,0.008
QAc-G-0131,TMA,0.005,0.006,0.004,0.004,0.005,0.969,0.004,0.003
QAc-G-0132,TMA,0.013,0.008,0.006,0.032,0.167,0.743,0.011,0.019
QAc-G-0133,TMA,0.005,0.007,0.004,0.004,0.003,0.969,0.003,0.005
QAc-G-0134,TMA,0.004,0.004,0.003,0.004,0.004,0.974,0.004,0.003
QAc-G-0135,TMA,0.006,0.01,0.006,0.007,0.956,0.003,0.008,0.004
QAc-G-0136,TMA,0.005,0.005,0.012,0.013,0.847,0.006,0.007,0.105
QAc-G-0137,TMA,0.004,0.01,0.005,0.019,0.922,0.031,0.003,0.006
QAc-G-0138,TMA,0.002,0.002,0.028,0.013,0.91,0.005,0.007,0.032
QAc-G-0139,TMA,0.003,0.03,0.006,0.009,0.918,0.029,0.002,0.004
QAc-G-0140,TMA,0.006,0.029,0.005,0.013,0.887,0.047,0.005,0.008
QAc-G-0141,TMA,0.013,0.052,0.051,0.313,0.498,0.026,0.032,0.015
QAc-G-0142,TMA,0.003,0.005,0.004,0.005,0.975,0.003,0.002,0.003
QAc-G-0143,TMA,0.006,0.006,0.004,0.97,0.004,0.003,0.003,0.004
QAc-G-0144,TMA,0.004,0.005,0.004,0.605,0.362,0.002,0.005,0.013
QAc-G-0145,TMA,0.976,0.004,0.003,0.003,0.003,0.002,0.003,0.005
QAc-G-0146,TMA,0.003,0.003,0.003,0.003,0.003,0.98,0.003,0.003
QAc-G-0147,TMA,0.008,0.021,0.324,0.251,0.104,0.258,0.005,0.03
QAc-G-0148,TMA,0.004,0.018,0.006,0.577,0.348,0.006,0.004,0.037
QAc-G-0149,TMA,0.004,0.004,0.003,0.003,0.003,0.977,0.003,0.003
QAc-G-0150,TMA,0.978,0.003,0.004,0.003,0.002,0.003,0.003,0.004
QAc-G-0151,TMA,0.003,0.005,0.003,0.002,0.003,0.977,0.003,0.003
QAc-G-0152,TMA,0.002,0.004,0.004,0.003,0.003,0.977,0.005,0.003
QAc-G-0153,TMA,0.003,0.009,0.021,0.01,0.006,0.883,0.002,0.066
QAc-G-0154,TMA,0.013,0.019,0.004,0.007,0.022,0.918,0.003,0.015
QAc-G-0155,TMA,0.003,0.006,0.003,0.003,0.003,0.977,0.003,0.003
QAc-G-0158,TMA,0.003,0.002,0.003,0.003,0.003,0.981,0.003,0.003
QAc-G-0159,TMA,0.012,0.007,0.013,0.024,0.921,0.012,0.006,0.004
QAc-G-0160,TMA,0.983,0.002,0.002,0.002,0.002,0.002,0.003,0.003
QAc-G-0161,TMA,0.982,0.003,0.002,0.002,0.002,0.002,0.003,0.003
QAc-G-0162,TMA,0.083,0.303,0.009,0.043,0.006,0.005,0.007,0.543
QAc-G-0163,TMA,0.832,0.076,0.007,0.031,0.024,0.003,0.002,0.025
QAc-G-0164,TMA,0.909,0.004,0.056,0.013,0.003,0.002,0.01,0.003
QAc-G-0165,TMA,0.966,0.006,0.005,0.004,0.004,0.007,0.002,0.006
QAc-G-0166,TMA,0.979,0.004,0.003,0.003,0.002,0.003,0.003,0.003
QAc-G-0167,TMA,0.975,0.004,0.004,0.004,0.003,0.004,0.003,0.003
QAc-G-0168,TMA,0.981,0.003,0.002,0.002,0.002,0.002,0.003,0.003
QAc-G-0169,TMA,0.221,0.007,0.015,0.618,0.054,0.005,0.005,0.076
QAc-G-0170,TMA,0.971,0.004,0.004,0.003,0.003,0.005,0.003,0.006
QAc-G-0171,TMA,0.977,0.003,0.003,0.003,0.002,0.003,0.003,0.005
QAc-G-0172,TMA,0.019,0.01,0.014,0.049,0.869,0.011,0.009,0.018
QAc-G-0173,TMA,0.478,0.003,0.003,0.003,0.003,0.002,0.006,0.502
QAc-G-0174,TMA,0.025,0.006,0.004,0.004,0.004,0.003,0.005,0.95
QAc-G-0175,TMA,0.978,0.003,0.003,0.003,0.002,0.002,0.004,0.005
QAc-G-0176,TMA,0.807,0.148,0.005,0.019,0.005,0.003,0.008,0.006
QAc-G-0177,TMA,0.977,0.003,0.003,0.003,0.002,0.003,0.004,0.005
QAc-G-0178,TMA,0.705,0.003,0.23,0.018,0.003,0.017,0.011,0.012
QAc-G-0179,TMA,0.977,0.003,0.002,0.003,0.003,0.002,0.003,0.006
QAc-G-0180,TMA,0.982,0.003,0.003,0.002,0.002,0.002,0.003,0.003
QAc-G-0181,TMA,0.972,0.007,0.005,0.004,0.004,0.003,0.002,0.003
QAc-G-0182,TMA,0.433,0.005,0.005,0.007,0.006,0.005,0.003,0.537
QAc-G-0183,TMA,0.945,0.003,0.005,0.013,0.009,0.003,0.007,0.015
QAc-G-0184,TMA,0.979,0.003,0.003,0.003,0.003,0.003,0.003,0.004
QAc-G-0185,TMA,0.749,0.009,0.103,0.015,0.01,0.04,0.006,0.068
QAc-G-0186,TMA,0.971,0.009,0.005,0.003,0.003,0.002,0.002,0.005
QAc-G-0187,TMA,0.794,0.015,0.11,0.024,0.004,0.006,0.042,0.005
QAc-G-0188,TMA,0.197,0.032,0.007,0.349,0.395,0.005,0.003,0.012
QAc-G-0189,TMA,0.929,0.003,0.006,0.005,0.005,0.002,0.012,0.037
QAc-G-0190,TMA,0.974,0.004,0.004,0.003,0.003,0.004,0.004,0.005
QAc-G-0191,TMA,0.975,0.004,0.003,0.003,0.003,0.004,0.004,0.004
QAc-G-0192,TMA,0.981,0.003,0.003,0.002,0.003,0.003,0.003,0.004
QAc-G-0193,TMA,0.975,0.004,0.004,0.003,0.003,0.004,0.003,0.003
QAc-G-0194,TMA,0.972,0.005,0.005,0.004,0.003,0.003,0.005,0.004
QAc-G-0195,TMA,0.057,0.009,0.005,0.004,0.004,0.002,0.016,0.903
QAc-G-0196,TMA,0.65,0.004,0.003,0.004,0.002,0.002,0.006,0.328
QAc-G-0197,TMA,0.981,0.003,0.002,0.002,0.002,0.003,0.003,0.003
QAc-G-0198,TMA,0.976,0.004,0.003,0.003,0.003,0.003,0.003,0.005
QAc-G-0199,TMA,0.688,0.013,0.108,0.022,0.005,0.017,0.006,0.141
QAc-G-0200,TMA,0.969,0.008,0.005,0.004,0.003,0.002,0.003,0.006
QAc-G-0201,TMA,0.453,0.003,0.003,0.013,0.002,0.002,0.004,0.518
QAc-G-0202,TMA,0.538,0.004,0.003,0.004,0.005,0.003,0.012,0.431
QAc-G-0203,TMA,0.954,0.005,0.003,0.01,0.006,0.002,0.016,0.004
QAc-G-0204,TMA,0.971,0.006,0.004,0.004,0.003,0.003,0.004,0.006
QAc-G-0205,TMA,0.004,0.002,0.002,0.003,0.002,0.002,0.982,0.003
QAc-G-0206,TMA,0.003,0.02,0.008,0.141,0.047,0.004,0.772,0.004
QAc-G-0207,TMA,0.007,0.006,0.01,0.009,0.005,0.005,0.955,0.004
QAc-G-0208,TMA,0.003,0.003,0.003,0.003,0.003,0.003,0.979,0.003
QAc-G-0209,TMA,0.006,0.003,0.004,0.003,0.003,0.002,0.974,0.005
QAc-G-0210,TMA,0.003,0.003,0.003,0.004,0.003,0.003,0.98,0.002
QAc-G-0211,TMA,0.002,0.002,0.004,0.005,0.003,0.004,0.977,0.003
QAc-G-0212,TMA,0.004,0.004,0.003,0.003,0.002,0.003,0.978,0.003
QAc-G-0213,TMA,0.005,0.005,0.004,0.003,0.002,0.003,0.974,0.003
QAc-G-0214,TMA,0.004,0.003,0.002,0.003,0.002,0.002,0.98,0.004
QAc-G-0215,TMA,0.003,0.004,0.004,0.004,0.003,0.003,0.976,0.003
QAc-G-0216,TMA,0.015,0.019,0.007,0.274,0.129,0.004,0.091,0.461
QAc-G-0217,TMA,0.003,0.005,0.008,0.005,0.007,0.011,0.948,0.013
QAc-G-0218,TMA,0.005,0.006,0.008,0.005,0.003,0.005,0.965,0.004
QAc-G-0219,TMA,0.01,0.026,0.008,0.041,0.025,0.023,0.861,0.007
QAc-G-0220,TMA,0.003,0.004,0.006,0.075,0.005,0.005,0.897,0.003
QAc-G-0221,TMA,0.005,0.011,0.028,0.01,0.007,0.012,0.902,0.026
QAc-G-0222,TMA,0.004,0.004,0.003,0.003,0.003,0.002,0.978,0.003
QAc-G-0223,TMA,0.003,0.005,0.006,0.004,0.003,0.004,0.972,0.003
QAc-G-0224,TMA,0.005,0.003,0.004,0.005,0.003,0.003,0.973,0.003
QAc-G-0226,TMA,0.003,0.004,0.003,0.003,0.003,0.003,0.978,0.003
QAc-G-0227,TMA,0.005,0.956,0.004,0.006,0.004,0.015,0.004,0.005
QAc-G-0228,TMA,0.005,0.966,0.006,0.005,0.004,0.003,0.006,0.005
QAc-G-0229,TMA,0.005,0.939,0.014,0.01,0.012,0.004,0.007,0.009
QAc-G-0230,TMA,0.006,0.947,0.006,0.006,0.01,0.003,0.017,0.006
QAc-G-0231,TMA,0.007,0.003,0.003,0.003,0.003,0.004,0.972,0.003
QAc-G-0232,TMA,0.003,0.964,0.01,0.006,0.004,0.01,0.003,0.002
QAc-G-0233,TMA,0.005,0.533,0.165,0.263,0.004,0.006,0.019,0.005
QAc-G-0234,TMA,0.014,0.932,0.013,0.008,0.004,0.004,0.005,0.019
QAc-G-0235,TMA,0.004,0.007,0.009,0.017,0.927,0.003,0.008,0.026
QAc-G-0236,TMA,0.005,0.964,0.004,0.004,0.004,0.009,0.004,0.006
QAc-G-0237,TMA,0.013,0.921,0.013,0.009,0.009,0.013,0.016,0.006
QAc-G-0238,TMA,0.005,0.968,0.004,0.005,0.003,0.004,0.007,0.005
QAc-G-0239,TMA,0.005,0.966,0.007,0.007,0.004,0.003,0.004,0.003
QAc-G-0240,TMA,0.003,0.97,0.005,0.004,0.005,0.006,0.002,0.003
QAc-G-0241,TMA,0.007,0.853,0.026,0.037,0.025,0.006,0.01,0.036
QAc-G-0242,TMA,0.003,0.948,0.014,0.01,0.004,0.009,0.008,0.003
QAc-G-0243,TMA,0.003,0.71,0.132,0.064,0.012,0.049,0.022,0.008
QAc-G-0244,TMA,0.006,0.942,0.005,0.015,0.015,0.004,0.007,0.006
QAc-G-0245,TMA,0.005,0.957,0.004,0.004,0.005,0.015,0.003,0.006
QAc-G-0246,TMA,0.009,0.956,0.006,0.01,0.005,0.007,0.004,0.004
QAc-G-0247,TMA,0.002,0.973,0.005,0.005,0.003,0.003,0.004,0.003
QAc-G-0248,TMA,0.003,0.976,0.003,0.004,0.005,0.003,0.003,0.003
QAc-G-0249,TTA,0.012,0.009,0.928,0.022,0.008,0.003,0.009,0.007
QAc-G-0025,USNA,0.004,0.004,0.003,0.003,0.003,0.003,0.978,0.003
QAc-G-0028,USNA,0.006,0.867,0.068,0.015,0.003,0.004,0.033,0.004
QAc-G-0275,UWBG,0.014,0.005,0.004,0.005,0.004,0.003,0.963,0.004
QAc-G-0263,ZBGP,0.012,0.005,0.147,0.333,0.011,0.006,0.016,0.469
QAc-W-0001,Porter,0.003,0.917,0.005,0.008,0.022,0.036,0.004,0.004
QAc-W-0002,Porter,0.021,0.918,0.013,0.015,0.02,0.003,0.004,0.007
QAc-W-0003,Porter,0.006,0.854,0.006,0.02,0.026,0.009,0.032,0.047
QAc-W-0004,Porter,0.006,0.963,0.007,0.004,0.003,0.004,0.009,0.005
QAc-W-0005,Porter,0.008,0.937,0.01,0.008,0.006,0.013,0.004,0.015
QAc-W-0006,Porter,0.006,0.957,0.007,0.007,0.008,0.005,0.006,0.004
QAc-W-0007,Porter,0.004,0.967,0.008,0.004,0.004,0.005,0.005,0.004
QAc-W-0008,Porter,0.004,0.889,0.045,0.045,0.008,0.003,0.003,0.004
QAc-W-0009,Porter,0.011,0.84,0.019,0.048,0.066,0.007,0.006,0.005
QAc-W-0010,Porter,0.007,0.787,0.064,0.049,0.013,0.021,0.005,0.054
QAc-W-0011,Porter,0.048,0.869,0.005,0.018,0.016,0.02,0.007,0.017
QAc-W-0012,Porter,0.013,0.953,0.006,0.008,0.005,0.006,0.005,0.005
QAc-W-0013,Porter,0.008,0.797,0.006,0.018,0.054,0.004,0.11,0.004
QAc-W-0014,Porter,0.003,0.94,0.028,0.007,0.004,0.005,0.004,0.009
QAc-W-0015,Porter,0.017,0.759,0.032,0.016,0.023,0.004,0.028,0.122
QAc-W-0016,Porter,0.007,0.684,0.096,0.156,0.02,0.003,0.012,0.022
QAc-W-0017,Porter,0.014,0.245,0.149,0.33,0.072,0.016,0.031,0.143
QAc-W-0018,Porter,0.003,0.76,0.022,0.149,0.027,0.01,0.025,0.004
QAc-W-0019,Porter,0.007,0.953,0.011,0.005,0.007,0.006,0.006,0.006
QAc-W-0020,Porter,0.004,0.886,0.005,0.035,0.008,0.054,0.003,0.006
QAc-W-0021,Porter,0.012,0.416,0.047,0.211,0.058,0.01,0.241,0.004
QAc-W-0022,Porter,0.009,0.491,0.189,0.162,0.021,0.007,0.024,0.097
QAc-W-0023,Porter,0.003,0.532,0.079,0.076,0.205,0.067,0.032,0.006
QAc-W-0024,Porter,0.04,0.545,0.021,0.173,0.02,0.007,0.188,0.007
QAc-W-0025,Porter,0.004,0.971,0.005,0.006,0.004,0.004,0.004,0.003
QAc-W-0026,Porter,0.045,0.639,0.06,0.064,0.014,0.104,0.047,0.027
QAc-W-0027,Porter,0.009,0.955,0.011,0.007,0.008,0.003,0.004,0.003
QAc-W-0028,Porter,0.005,0.967,0.005,0.006,0.005,0.004,0.003,0.005
QAc-W-0029,Porter,0.003,0.956,0.005,0.01,0.01,0.008,0.006,0.003
QAc-W-0030,Porter,0.01,0.956,0.003,0.007,0.005,0.008,0.004,0.007
QAc-W-0031,Porter,0.005,0.908,0.005,0.008,0.008,0.003,0.061,0.003
