Ind,Botanic_Garden,Wild_Source,First_Pop,First_Per,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0057,/DBG,Pryor,Magazine,99.821,Pryor,0.175,Porter,0.004,Sugar_Loaf,0
QAc-G-0058,/DBG,Pryor,Pryor,97.842,Porter,1.596,Magazine,0.562,Sugar_Loaf,0
QAc-G-0059,/DBG,Pryor,Magazine,99.646,Pryor,0.268,Porter,0.053,Sugar_Loaf,0.033
QAc-G-0060,/DBG,Pryor,Magazine,86.932,Porter,13.065,Pryor,0.003,Sugar_Loaf,0.001
QAc-G-0061,/AA,Pryor,Magazine,48.645,Pryor,45.527,Porter,5.828,Sugar_Loaf,0
QAc-G-0062,/AA,Magazine,Pryor,87.55,Magazine,11.976,Porter,0.475,Sugar_Loaf,0
QAc-G-0063,/AA,Magazine,Pryor,80.604,Magazine,17.675,Porter,1.721,Sugar_Loaf,0
QAc-G-0064,/AA,Magazine,Pryor,98.564,Porter,1.376,Magazine,0.06,Sugar_Loaf,0
QAc-G-0065,/AA,Magazine,Pryor,98.801,Porter,1.153,Magazine,0.046,Sugar_Loaf,0
QAc-G-0066,/AA,Magazine,Pryor,90.126,Magazine,9.775,Porter,0.098,Sugar_Loaf,0
QAc-G-0067,/AA,Magazine,Magazine,97.677,Pryor,2.221,Porter,0.102,Sugar_Loaf,0
QAc-G-0068,/AA,Magazine,Porter,60.439,Magazine,32.804,Pryor,6.753,Sugar_Loaf,0.005
QAc-G-0070,/AA,Magazine,Pryor,58.902,Magazine,40.917,Porter,0.181,Sugar_Loaf,0
QAc-G-0071,/AA,Magazine,Pryor,60.92,Magazine,39.018,Porter,0.062,Sugar_Loaf,0
QAc-G-0072,/AA,Magazine,Pryor,88.655,Magazine,10.623,Porter,0.722,Sugar_Loaf,0
QAc-G-0073,/AA,Porter,Magazine,78.485,Pryor,21.476,Porter,0.038,Sugar_Loaf,0
QAc-G-0074,/AA,Porter,Pryor,82.926,Porter,16.866,Magazine,0.205,Sugar_Loaf,0.003
QAc-G-0075,/AA,Porter,Magazine,99.986,Sugar_Loaf,0.01,Porter,0.003,Pryor,0
QAc-G-0076,/AA,Porter,Magazine,96.708,Porter,3.194,Pryor,0.088,Sugar_Loaf,0.01
QAc-G-0077,/AA,Pryor,Magazine,99.669,Pryor,0.325,Porter,0.006,Sugar_Loaf,0
QAc-G-0078,/AA,Pryor,Magazine,78.495,Pryor,21.342,Porter,0.163,Sugar_Loaf,0
QAc-G-0079,/AA,Pryor,Magazine,50.905,Pryor,48.056,Porter,1.039,Sugar_Loaf,0
QAc-G-0080,/AA,Pryor,Pryor,98.836,Magazine,0.895,Sugar_Loaf,0.257,Porter,0.012
QAc-G-0081,/AA,Sugar Loaf,Magazine,99.96,Porter,0.03,Sugar_Loaf,0.009,Pryor,0
QAc-G-0082,/AA,Sugar Loaf,Magazine,99.278,Sugar_Loaf,0.356,Pryor,0.226,Porter,0.139
QAc-G-0083,/AA,Magazine,Pryor,99.658,Magazine,0.341,Porter,0.001,Sugar_Loaf,0
QAc-G-0106,/TMA,Magazine,Magazine,99.982,Pryor,0.016,Porter,0.002,Sugar_Loaf,0
QAc-G-0107,/TMA,Magazine,Magazine,99.996,Porter,0.004,Pryor,0,Sugar_Loaf,0
QAc-G-0108,/TMA,Magazine,Magazine,97.565,Porter,2.113,Pryor,0.322,Sugar_Loaf,0
QAc-G-0109,/TMA,Magazine,Magazine,99.875,Pryor,0.125,Porter,0,Sugar_Loaf,0
QAc-G-0110,/TMA,Magazine,Magazine,99.967,Pryor,0.023,Porter,0.01,Sugar_Loaf,0
QAc-G-0111,/TMA,Magazine,Magazine,99.971,Pryor,0.015,Porter,0.014,Sugar_Loaf,0
QAc-G-0112,/TMA,Magazine,Magazine,99.923,Pryor,0.057,Porter,0.018,Sugar_Loaf,0.003
QAc-G-0113,/TMA,Magazine,Magazine,99.962,Porter,0.033,Pryor,0.005,Sugar_Loaf,0
QAc-G-0114,/TMA,Magazine,Magazine,99.864,Pryor,0.135,Porter,0.001,Sugar_Loaf,0
QAc-G-0115,/TMA,Magazine,Magazine,93.836,Porter,6.071,Pryor,0.07,Sugar_Loaf,0.023
QAc-G-0116,/TMA,Magazine,Magazine,99.998,Pryor,0.002,Porter,0.001,Sugar_Loaf,0
QAc-G-0117,/TMA,Magazine,Magazine,73.055,Porter,24.34,Pryor,2.605,Sugar_Loaf,0
QAc-G-0118,/TMA,Magazine,Magazine,98.234,Porter,1.661,Pryor,0.081,Sugar_Loaf,0.025
QAc-G-0119,/TMA,Magazine,Magazine,99.856,Sugar_Loaf,0.128,Porter,0.014,Pryor,0.002
QAc-G-0120,/TMA,Magazine,Magazine,99.638,Sugar_Loaf,0.281,Porter,0.069,Pryor,0.012
QAc-G-0121,/TMA,Magazine,Pryor,99.033,Magazine,0.925,Porter,0.041,Sugar_Loaf,0
QAc-G-0122,/TMA,Magazine,Pryor,99.906,Porter,0.072,Magazine,0.023,Sugar_Loaf,0
QAc-G-0123,/TMA,Magazine,Pryor,59.073,Magazine,40.836,Porter,0.09,Sugar_Loaf,0.001
QAc-G-0124,/TMA,Magazine,Pryor,97.201,Magazine,2.605,Porter,0.194,Sugar_Loaf,0
QAc-G-0125,/TMA,Magazine,Pryor,99.801,Magazine,0.158,Porter,0.041,Sugar_Loaf,0
QAc-G-0126,/TMA,Magazine,Pryor,99.235,Magazine,0.532,Porter,0.233,Sugar_Loaf,0
QAc-G-0127,/TMA,Magazine,Pryor,90.395,Porter,9.6,Magazine,0.005,Sugar_Loaf,0
QAc-G-0128,/TMA,Magazine,Pryor,53.996,Porter,43.809,Magazine,2.196,Sugar_Loaf,0
QAc-G-0129,/TMA,Magazine,Pryor,71.473,Porter,18.082,Magazine,10.445,Sugar_Loaf,0
QAc-G-0130,/TMA,Magazine,Pryor,99.999,Porter,0.001,Magazine,0,Sugar_Loaf,0
QAc-G-0131,/TMA,Magazine,Pryor,87.493,Magazine,7.857,Porter,4.65,Sugar_Loaf,0
QAc-G-0132,/TMA,Magazine,Pryor,97.924,Porter,1.959,Magazine,0.116,Sugar_Loaf,0
QAc-G-0133,/TMA,Magazine,Pryor,66.973,Porter,33.027,Magazine,0,Sugar_Loaf,0
QAc-G-0134,/TMA,Magazine,Pryor,98.197,Magazine,1.667,Porter,0.135,Sugar_Loaf,0
QAc-G-0135,/TMA,Magazine,Magazine,99.831,Porter,0.141,Sugar_Loaf,0.028,Pryor,0
QAc-G-0136,/TMA,Magazine,Magazine,97.965,Pryor,1.945,Porter,0.09,Sugar_Loaf,0
QAc-G-0137,/TMA,Magazine,Magazine,99.849,Pryor,0.147,Porter,0.004,Sugar_Loaf,0
QAc-G-0138,/TMA,Magazine,Magazine,99.426,Pryor,0.559,Sugar_Loaf,0.013,Porter,0.002
QAc-G-0139,/TMA,Magazine,Magazine,99.73,Porter,0.17,Pryor,0.1,Sugar_Loaf,0
QAc-G-0140,/TMA,Magazine,Magazine,52.227,Porter,41.021,Pryor,6.752,Sugar_Loaf,0
QAc-G-0141,/TMA,Magazine,Pryor,77.992,Magazine,21.643,Porter,0.355,Sugar_Loaf,0.009
QAc-G-0142,/TMA,Magazine,Magazine,99.968,Pryor,0.014,Porter,0.01,Sugar_Loaf,0.008
QAc-G-0143,/TMA,Magazine,Porter,99.972,Magazine,0.026,Sugar_Loaf,0.001,Pryor,0
QAc-G-0144,/TMA,Magazine,Magazine,99.999,Porter,0.001,Sugar_Loaf,0,Pryor,0
QAc-G-0145,/TMA,Magazine,Magazine,57.243,Pryor,42.724,Porter,0.033,Sugar_Loaf,0
QAc-G-0146,/TMA,Magazine,Pryor,80.171,Magazine,18.52,Porter,1.308,Sugar_Loaf,0
QAc-G-0147,/TMA,Magazine,Magazine,52.803,Porter,39.712,Pryor,7.474,Sugar_Loaf,0.012
QAc-G-0148,/TMA,Magazine,Porter,97.729,Magazine,2.15,Pryor,0.121,Sugar_Loaf,0
QAc-G-0149,/TMA,Magazine,Pryor,99.507,Porter,0.476,Magazine,0.016,Sugar_Loaf,0
QAc-G-0150,/TMA,Magazine,Pryor,98.196,Magazine,1.364,Porter,0.44,Sugar_Loaf,0
QAc-G-0151,/TMA,Magazine,Pryor,92.245,Magazine,7.717,Porter,0.038,Sugar_Loaf,0
QAc-G-0152,/TMA,Magazine,Pryor,71.834,Magazine,28.091,Porter,0.075,Sugar_Loaf,0
QAc-G-0153,/TMA,Magazine,Pryor,69.416,Magazine,25.105,Porter,5.479,Sugar_Loaf,0.001
QAc-G-0154,/TMA,Magazine,Pryor,99.274,Porter,0.58,Magazine,0.146,Sugar_Loaf,0
QAc-G-0155,/TMA,Magazine,Pryor,97.166,Magazine,2.721,Porter,0.114,Sugar_Loaf,0
QAc-G-0158,/TMA,Magazine,Pryor,99.502,Magazine,0.315,Porter,0.183,Sugar_Loaf,0
QAc-G-0159,/TMA,Magazine,Porter,89.51,Magazine,10.391,Sugar_Loaf,0.069,Pryor,0.03
QAc-G-0160,/TMA,Magazine,Magazine,47.892,Pryor,47.615,Porter,4.456,Sugar_Loaf,0.037
QAc-G-0161,/TMA,Magazine,Magazine,94.678,Pryor,5.209,Porter,0.108,Sugar_Loaf,0.006
QAc-G-0162,/TMA,Magazine,Magazine,87.079,Pryor,12.188,Porter,0.73,Sugar_Loaf,0.003
QAc-G-0163,/TMA,Magazine,Magazine,87.573,Porter,12.204,Sugar_Loaf,0.133,Pryor,0.09
QAc-G-0164,/TMA,Magazine,Pryor,99.81,Porter,0.107,Magazine,0.072,Sugar_Loaf,0.01
QAc-G-0165,/TMA,Magazine,Magazine,92.946,Pryor,6.986,Porter,0.068,Sugar_Loaf,0
QAc-G-0166,/TMA,Magazine,Magazine,99.999,Pryor,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0167,/TMA,Magazine,Magazine,96.978,Pryor,2.958,Porter,0.064,Sugar_Loaf,0
QAc-G-0168,/TMA,Magazine,Magazine,99.945,Pryor,0.054,Porter,0.001,Sugar_Loaf,0
QAc-G-0169,/TMA,Magazine,Porter,96.613,Pryor,2.741,Magazine,0.64,Sugar_Loaf,0.007
QAc-G-0170,/TMA,Magazine,Pryor,59.989,Magazine,37.768,Porter,2.243,Sugar_Loaf,0
QAc-G-0171,/TMA,Magazine,Pryor,91.151,Magazine,8.352,Porter,0.497,Sugar_Loaf,0
QAc-G-0172,/TMA,Magazine,Magazine,98.418,Pryor,1.565,Sugar_Loaf,0.014,Porter,0.003
QAc-G-0173,/TMA,Magazine,Magazine,98.728,Pryor,1.269,Porter,0.003,Sugar_Loaf,0
QAc-G-0174,/TMA,Magazine,Magazine,92.713,Pryor,7.253,Porter,0.034,Sugar_Loaf,0
QAc-G-0175,/TMA,Magazine,Pryor,96.904,Magazine,3.092,Porter,0.005,Sugar_Loaf,0
QAc-G-0176,/TMA,Magazine,Magazine,78.181,Pryor,14.54,Porter,7.278,Sugar_Loaf,0
QAc-G-0177,/TMA,Magazine,Magazine,60.95,Pryor,26.561,Porter,12.484,Sugar_Loaf,0.004
QAc-G-0178,/TMA,Magazine,Pryor,99.869,Porter,0.078,Magazine,0.053,Sugar_Loaf,0
QAc-G-0179,/TMA,Magazine,Magazine,89.187,Pryor,10.708,Porter,0.106,Sugar_Loaf,0
QAc-G-0180,/TMA,Magazine,Magazine,68.068,Pryor,30.453,Porter,1.478,Sugar_Loaf,0.001
QAc-G-0181,/TMA,Magazine,Magazine,93.857,Pryor,6.04,Porter,0.103,Sugar_Loaf,0
QAc-G-0182,/TMA,Magazine,Pryor,99.445,Magazine,0.55,Porter,0.005,Sugar_Loaf,0
QAc-G-0183,/TMA,Magazine,Magazine,75.849,Pryor,24.129,Porter,0.022,Sugar_Loaf,0
QAc-G-0184,/TMA,Magazine,Magazine,99.833,Pryor,0.167,Porter,0,Sugar_Loaf,0
QAc-G-0185,/TMA,Magazine,Magazine,87.193,Pryor,12.801,Porter,0.006,Sugar_Loaf,0
QAc-G-0186,/TMA,Magazine,Magazine,93.098,Porter,3.537,Pryor,3.313,Sugar_Loaf,0.052
QAc-G-0187,/TMA,Magazine,Magazine,98.693,Pryor,0.988,Porter,0.318,Sugar_Loaf,0.001
QAc-G-0188,/TMA,Magazine,Magazine,60.429,Pryor,38.731,Sugar_Loaf,0.786,Porter,0.054
QAc-G-0189,/TMA,Magazine,Pryor,99.25,Magazine,0.572,Porter,0.178,Sugar_Loaf,0
QAc-G-0190,/TMA,Magazine,Magazine,75.13,Porter,19.905,Pryor,4.966,Sugar_Loaf,0
QAc-G-0191,/TMA,Magazine,Magazine,89.359,Pryor,5.906,Porter,4.735,Sugar_Loaf,0
QAc-G-0192,/TMA,Magazine,Pryor,99.658,Magazine,0.239,Porter,0.102,Sugar_Loaf,0
QAc-G-0193,/TMA,Magazine,Pryor,65.705,Magazine,27.15,Porter,7.143,Sugar_Loaf,0.002
QAc-G-0194,/TMA,Magazine,Pryor,93.349,Porter,5.681,Magazine,0.97,Sugar_Loaf,0
QAc-G-0195,/TMA,Magazine,Magazine,99.999,Pryor,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0196,/TMA,Magazine,Magazine,99.999,Pryor,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0197,/TMA,Magazine,Pryor,87.521,Magazine,12.32,Porter,0.158,Sugar_Loaf,0.001
QAc-G-0198,/TMA,Magazine,Magazine,89.916,Pryor,10.015,Porter,0.07,Sugar_Loaf,0
QAc-G-0199,/TMA,Magazine,Pryor,98.256,Magazine,1.72,Porter,0.023,Sugar_Loaf,0
QAc-G-0200,/TMA,Magazine,Magazine,99.383,Pryor,0.613,Porter,0.004,Sugar_Loaf,0
QAc-G-0201,/TMA,Magazine,Magazine,87.395,Pryor,12.591,Porter,0.014,Sugar_Loaf,0
QAc-G-0202,/TMA,Magazine,Pryor,95.836,Magazine,4.148,Porter,0.016,Sugar_Loaf,0
QAc-G-0203,/TMA,Magazine,Magazine,53.645,Pryor,46.284,Porter,0.069,Sugar_Loaf,0.002
QAc-G-0204,/TMA,Pryor,Magazine,98.97,Pryor,1.027,Porter,0.003,Sugar_Loaf,0
QAc-G-0205,/TMA,Pryor,Magazine,93.65,Pryor,6.307,Porter,0.042,Sugar_Loaf,0
QAc-G-0206,/TMA,Pryor,Pryor,47.601,Porter,46.83,Magazine,5.569,Sugar_Loaf,0
QAc-G-0207,/TMA,Pryor,Pryor,54.706,Magazine,45.272,Porter,0.022,Sugar_Loaf,0
QAc-G-0208,/TMA,Pryor,Magazine,75.959,Pryor,23.202,Porter,0.837,Sugar_Loaf,0.002
QAc-G-0209,/TMA,Pryor,Magazine,61.888,Pryor,37.968,Porter,0.144,Sugar_Loaf,0
QAc-G-0210,/TMA,Pryor,Magazine,88.838,Pryor,11.119,Porter,0.043,Sugar_Loaf,0
QAc-G-0211,/TMA,Pryor,Pryor,95.471,Magazine,4.528,Porter,0.001,Sugar_Loaf,0
QAc-G-0212,/TMA,Pryor,Magazine,82.285,Pryor,15.646,Porter,2.067,Sugar_Loaf,0.003
QAc-G-0213,/TMA,Pryor,Pryor,95.957,Magazine,4.025,Porter,0.018,Sugar_Loaf,0
QAc-G-0214,/TMA,Pryor,Magazine,66.623,Pryor,33.211,Porter,0.166,Sugar_Loaf,0
QAc-G-0215,/TMA,Pryor,Magazine,99.27,Pryor,0.602,Porter,0.092,Sugar_Loaf,0.036
QAc-G-0216,/TMA,Pryor,Magazine,99.356,Porter,0.362,Pryor,0.229,Sugar_Loaf,0.053
QAc-G-0217,/TMA,Pryor,Pryor,95.838,Porter,4.031,Magazine,0.127,Sugar_Loaf,0.005
QAc-G-0218,/TMA,Pryor,Magazine,96.809,Porter,2.901,Pryor,0.284,Sugar_Loaf,0.005
QAc-G-0219,/TMA,Pryor,Pryor,50.659,Magazine,49.241,Porter,0.054,Sugar_Loaf,0.046
QAc-G-0220,/TMA,Pryor,Pryor,74.3,Magazine,19.995,Porter,5.44,Sugar_Loaf,0.265
QAc-G-0221,/TMA,Pryor,Magazine,92.999,Porter,6.846,Pryor,0.149,Sugar_Loaf,0.006
QAc-G-0222,/TMA,Pryor,Magazine,95.609,Pryor,4.11,Porter,0.281,Sugar_Loaf,0
QAc-G-0223,/TMA,Pryor,Magazine,55.822,Pryor,30.58,Porter,13.588,Sugar_Loaf,0.01
QAc-G-0224,/TMA,Pryor,Magazine,96.171,Pryor,2.825,Porter,0.919,Sugar_Loaf,0.085
QAc-G-0226,/TMA,Porter,Pryor,87.142,Magazine,12.776,Porter,0.082,Sugar_Loaf,0
QAc-G-0227,/TMA,Porter,Porter,98.949,Magazine,0.754,Pryor,0.297,Sugar_Loaf,0
QAc-G-0228,/TMA,Porter,Magazine,99.98,Pryor,0.018,Porter,0.001,Sugar_Loaf,0.001
QAc-G-0229,/TMA,Porter,Porter,42.495,Magazine,36.774,Pryor,20.704,Sugar_Loaf,0.027
QAc-G-0230,/TMA,Porter,Magazine,97.761,Pryor,2.142,Porter,0.097,Sugar_Loaf,0
QAc-G-0231,/TMA,Porter,Pryor,55.792,Magazine,42.936,Porter,1.273,Sugar_Loaf,0
QAc-G-0232,/TMA,Porter,Porter,99.864,Sugar_Loaf,0.09,Pryor,0.041,Magazine,0.005
QAc-G-0233,/TMA,Porter,Pryor,93.329,Magazine,6.661,Porter,0.01,Sugar_Loaf,0
QAc-G-0234,/TMA,Porter,Pryor,98.616,Porter,0.89,Magazine,0.494,Sugar_Loaf,0
QAc-G-0235,/TMA,Porter,Magazine,50.278,Pryor,49.487,Sugar_Loaf,0.226,Porter,0.009
QAc-G-0236,/TMA,Porter,Magazine,99.622,Pryor,0.346,Porter,0.029,Sugar_Loaf,0.002
QAc-G-0237,/TMA,Porter,Porter,92.749,Magazine,5.712,Pryor,1.535,Sugar_Loaf,0.004
QAc-G-0238,/TMA,Porter,Magazine,99.893,Pryor,0.096,Sugar_Loaf,0.011,Porter,0
QAc-G-0239,/TMA,Porter,Magazine,99.595,Pryor,0.361,Porter,0.034,Sugar_Loaf,0.01
QAc-G-0240,/TMA,Porter,Magazine,99.387,Sugar_Loaf,0.316,Porter,0.297,Pryor,0
QAc-G-0241,/TMA,Porter,Magazine,72.884,Porter,25.789,Sugar_Loaf,0.948,Pryor,0.378
QAc-G-0242,/TMA,Porter,Pryor,99.584,Porter,0.285,Magazine,0.131,Sugar_Loaf,0
QAc-G-0243,/TMA,Porter,Porter,93.34,Magazine,5.618,Pryor,1.04,Sugar_Loaf,0.001
QAc-G-0244,/TMA,Porter,Magazine,87.88,Porter,12.066,Pryor,0.054,Sugar_Loaf,0
QAc-G-0245,/TMA,Porter,Magazine,99.944,Pryor,0.045,Porter,0.009,Sugar_Loaf,0.002
QAc-G-0246,/TMA,Porter,Magazine,99.622,Pryor,0.37,Porter,0.008,Sugar_Loaf,0
QAc-G-0247,/TMA,Porter,Magazine,99.714,Pryor,0.178,Porter,0.104,Sugar_Loaf,0.005
QAc-G-0248,/TMA,NA,Magazine,99.799,Porter,0.112,Sugar_Loaf,0.085,Pryor,0.005
QAc-G-0249,/TTA,NA,Magazine,60.434,Porter,39.425,Pryor,0.133,Sugar_Loaf,0.007
QAc-G-0250,/MeBG,NA,Pryor,68.998,Magazine,22.01,Porter,8.987,Sugar_Loaf,0.005
QAc-G-0251,/JFG,Porter,Magazine,98.128,Pryor,1.269,Porter,0.596,Sugar_Loaf,0.006
QAc-G-0252,/JFG,Porter,Magazine,62.244,Porter,35.262,Sugar_Loaf,1.878,Pryor,0.616
QAc-G-0253,/JFG,Pryor,Pryor,81.761,Magazine,18.238,Porter,0.001,Sugar_Loaf,0
QAc-G-0254,/JFG,Pryor,Magazine,77.937,Pryor,21.636,Porter,0.427,Sugar_Loaf,0
QAc-G-0255,/JFG,Magazine,Pryor,87.608,Magazine,11.125,Sugar_Loaf,1.139,Porter,0.129
QAc-G-0256,/JFG,Magazine,Magazine,99.968,Pryor,0.027,Porter,0.005,Sugar_Loaf,0
QAc-G-0257,/JFG,Magazine,Porter,46.42,Magazine,46.182,Pryor,6.63,Sugar_Loaf,0.769
QAc-G-0258,/JFG,Magazine,Magazine,99.931,Pryor,0.04,Porter,0.022,Sugar_Loaf,0.006
QAc-G-0259,/JFG,Magazine,Magazine,61.607,Pryor,25.562,Porter,11.936,Sugar_Loaf,0.895
QAc-G-0260,/JFG,Magazine,Porter,95.807,Pryor,3.974,Magazine,0.218,Sugar_Loaf,0
QAc-G-0261,/JFG,Magazine,Magazine,95.437,Porter,3.745,Pryor,0.818,Sugar_Loaf,0
QAc-G-0262,/JFG,Magazine,Magazine,80.819,Pryor,11.567,Porter,7.525,Sugar_Loaf,0.089
QAc-G-0263,/ZBGP,Magazine,Magazine,96.573,Porter,1.98,Pryor,1.446,Sugar_Loaf,0.001
QAc-G-0265,/MA,NA,Pryor,99.354,Porter,0.599,Magazine,0.046,Sugar_Loaf,0.001
QAc-G-0266,/MA,Pryor,Magazine,99.933,Pryor,0.064,Porter,0.003,Sugar_Loaf,0
QAc-G-0267,/MA,Magazine,Pryor,93.168,Magazine,6.827,Porter,0.005,Sugar_Loaf,0
QAc-G-0268,/MA,Magazine,Magazine,96.469,Pryor,2.985,Porter,0.522,Sugar_Loaf,0.024
QAc-G-0269,/MA,Magazine,Magazine,99.742,Pryor,0.257,Porter,0.001,Sugar_Loaf,0
QAc-G-0270,/MA,Pryor,Porter,91.755,Magazine,6.087,Pryor,2.157,Sugar_Loaf,0.001
QAc-G-0271,/MA,Pryor,Porter,85.655,Magazine,12.596,Pryor,1.748,Sugar_Loaf,0.001
QAc-G-0272,/MA,Pryor,Magazine,99.561,Pryor,0.344,Porter,0.095,Sugar_Loaf,0
QAc-G-0273,/MA,Magazine,Magazine,64.451,Pryor,35.53,Porter,0.019,Sugar_Loaf,0
QAc-G-0274,/MA,Pryor,Pryor,95.557,Porter,4.424,Magazine,0.019,Sugar_Loaf,0
QAc-G-0275,/UWBG,Pyror,Magazine,76.329,Pryor,23.654,Porter,0.016,Sugar_Loaf,0
QAc-G-0276,/FGT,Magazine,Magazine,61.785,Pryor,38.201,Porter,0.014,Sugar_Loaf,0
